,Date,Open,High,Low,Close,Volume,EMA_10,EMA_50,Signal
0,1/4/2000,45.5,46.0,45.25,45.75,37461,,,0
1,1/5/2000,43.5,44.25,43.0,43.5,27363,,,0
2,1/6/2000,43.75,43.75,42.25,42.5,11591,,,0
3,1/7/2000,43.0,44.0,42.5,43.75,9750,,,0
4,1/10/2000,44.5,45.25,43.75,43.75,17305,,,0
5,1/11/2000,44.25,44.5,43.0,43.0,10539,,,0
6,1/12/2000,42.75,43.75,42.75,43.75,5430,,,0
7,1/13/2000,43.5,44.0,43.25,43.5,4684,,,0
8,1/14/2000,44.0,44.5,43.75,44.5,8893,,,0
9,1/17/2000,45.25,45.75,45.0,45.0,24458,44.261004702775644,,0
10,1/18/2000,45.0,46.25,45.0,46.25,18248,44.62264021136188,,0
11,1/19/2000,45.5,46.5,45.5,46.5,20148,44.96397835475063,,0
12,1/20/2000,46.5,47.0,46.25,46.5,18246,45.24325501752324,,0
13,1/21/2000,46.0,46.0,45.0,45.25,15097,45.24448137797356,,0
14,1/24/2000,45.25,45.5,44.25,44.75,5300,45.15457567288745,,0
15,1/25/2000,44.25,44.25,43.25,44.25,7996,44.99010736872609,,0
16,1/26/2000,44.5,44.5,43.5,43.5,12071,44.719178756230434,,0
17,1/27/2000,43.75,44.25,43.5,44.25,3250,44.633873527824896,,0
18,1/28/2000,44.25,44.5,44.25,44.5,3141,44.609532886402185,,0
19,1/31/2000,43.75,44.25,43.5,43.75,5535,44.4532541797836,,0
20,2/1/2000,44.25,44.75,43.5,43.5,5826,44.27993523800476,,0
21,2/2/2000,44.0,44.0,42.75,43.0,6874,44.04721974018571,,0
22,2/3/2000,43.0,43.25,41.75,42.5,11475,43.76590706015194,,0
23,2/4/2000,42.5,43.0,42.0,43.0,6648,43.62665123103341,,0
24,2/7/2000,42.75,42.75,42.0,42.0,4442,43.330896461754605,,0
25,2/8/2000,42.5,42.5,41.0,41.0,10609,42.90709710507195,,0
26,2/9/2000,41.25,41.25,39.75,39.75,17379,42.33307944960432,,0
27,2/10/2000,39.5,40.0,39.25,39.75,10142,41.86342864058535,,0
28,2/11/2000,40.0,40.25,38.0,39.0,17426,41.342805251388015,,0
29,2/14/2000,38.5,38.5,37.0,37.25,9949,40.598658842044735,,0
30,2/15/2000,37.25,38.5,36.75,37.75,16159,40.08072087076388,,0
31,2/16/2000,38.0,38.25,37.0,37.0,18289,39.52058980335226,,0
32,2/17/2000,37.0,37.25,35.0,35.75,19427,38.835028020924575,,0
33,2/18/2000,35.75,36.0,34.0,35.0,30863,38.137750198938285,,0
34,2/22/2000,34.0,34.0,31.5,31.5,39894,36.93088652640405,,0
35,2/23/2000,31.5,33.5,31.0,33.25,18530,36.26163443069422,,0
36,2/24/2000,33.5,34.25,33.25,33.5,17593,35.75951907965891,,0
37,2/25/2000,33.5,33.5,32.25,33.25,12470,35.303242883357285,,0
38,2/28/2000,32.5,32.5,31.25,31.5,14812,34.61174417729232,,0
39,2/29/2000,31.75,32.25,29.5,29.5,21454,33.682336145057356,,0
40,3/1/2000,30.0,30.5,28.0,28.25,34442,32.694638664137834,,0
41,3/2/2000,28.25,31.0,28.25,30.75,29043,32.341067997930956,,0
42,3/3/2000,31.5,31.5,29.0,29.5,20966,31.824510180125326,,0
43,3/6/2000,28.25,28.75,27.5,28.25,10231,31.174599238284355,,0
44,3/7/2000,28.0,29.25,27.75,29.0,4951,30.77921755859629,,0
45,3/8/2000,28.25,29.5,28.25,29.25,7046,30.50117800248787,,0
46,3/9/2000,29.75,30.75,29.25,30.0,8482,30.410054729308257,,0
47,3/10/2000,30.5,31.5,30.0,31.25,15802,30.56277205125221,,0
48,3/13/2000,31.25,31.25,29.75,30.25,4026,30.50590440556999,,0
49,3/14/2000,30.0,31.75,30.0,31.75,6601,30.732103604557263,36.89343686996203,0
50,3/15/2000,31.75,32.5,30.5,30.5,10882,30.689902949183214,36.642713855453714,0
51,3/16/2000,31.0,32.0,31.0,32.0,7678,30.92810241296808,36.46064664543592,0
52,3/17/2000,33.0,33.25,32.0,32.0,7416,31.122992883337517,36.28571932600707,0
53,3/20/2000,32.5,32.5,31.75,31.75,2287,31.23699417727615,36.107847979889144,0
54,3/21/2000,32.0,32.75,31.75,32.0,3339,31.375722508680482,35.94675590224644,0
55,3/22/2000,32.25,32.25,30.75,31.0,5142,31.30740932528403,35.75276547470737,0
56,3/23/2000,31.0,31.75,31.0,31.5,1587,31.342425811596023,35.58599035805218,0
57,3/24/2000,31.75,33.0,31.75,32.75,5485,31.598348391305834,35.47477504989327,0
58,3/27/2000,33.0,33.5,32.75,32.75,7028,31.80773959288659,35.36792112636804,0
59,3/28/2000,33.0,33.75,33.0,33.0,8822,32.02451421236175,35.275061474353606,0
60,3/29/2000,34.0,34.25,33.25,33.75,8892,32.338238901023246,35.21525514202601,0
61,3/30/2000,33.75,34.0,31.75,32.25,7248,32.322195464473566,35.098970626652445,0
62,3/31/2000,32.0,32.5,31.75,32.25,3534,32.30906901638746,34.98724628835235,0
63,4/3/2000,32.25,32.75,32.25,32.5,1715,32.34378374068065,34.889707218220884,0
64,4/4/2000,32.25,32.25,31.5,32.0,2586,32.281277606011436,34.77638536652595,0
65,4/5/2000,32.25,32.75,32.25,32.5,2090,32.32104531400935,34.68711535215238,0
66,4/7/2000,33.0,33.25,32.75,33.0,3485,32.44449162055311,34.62095396579347,0
67,4/10/2000,33.5,33.5,32.75,33.5,3287,32.636402234997995,34.57699498674275,0
68,4/11/2000,33.0,33.0,32.5,33.0,1506,32.70251091954381,34.51515204608617,0
69,4/12/2000,32.75,34.25,32.75,34.25,6367,32.983872570535844,34.504753926631814,0
70,4/17/2000,32.0,33.25,31.75,33.0,6975,32.986804830438416,34.445743968724685,0
71,4/18/2000,33.5,34.0,33.0,33.0,6089,32.98920395217688,34.38904812681392,0
72,4/19/2000,33.25,33.75,33.0,33.0,3651,32.991166869962896,34.33457565125259,0
73,4/20/2000,33.5,33.75,33.5,33.5,2315,33.083681984515096,34.30184719434072,0
74,4/21/2000,33.75,34.0,33.0,33.5,6352,33.159376169148715,34.27040220632736,0
75,4/24/2000,33.5,33.5,32.75,33.0,13507,33.130398683848945,34.22058251196159,0
76,4/25/2000,33.0,33.25,32.75,33.0,7149,33.10668983224004,34.172716531100356,0
77,4/26/2000,33.0,33.0,32.0,32.25,6155,32.95092804456004,34.09731588282191,0
78,4/27/2000,32.25,32.75,32.25,32.75,7324,32.91439567282185,34.0444799658485,0
79,4/28/2000,32.5,32.5,31.75,31.75,8298,32.702687368672414,33.954500359344635,0
80,5/2/2000,31.75,32.0,30.5,30.5,9096,32.30219875618652,33.8190297570174,0
81,5/3/2000,30.5,30.5,29.5,29.5,12257,31.792708073243514,33.649656041055934,0
82,5/4/2000,29.5,30.0,29.25,29.5,6901,31.37585205992651,33.48692443160276,0
83,5/8/2000,29.5,29.5,28.5,28.75,7154,30.89842441266714,33.30116268918697,0
84,5/9/2000,28.5,28.75,28.0,28.0,10945,30.371438155818566,33.09327395627768,0
85,5/10/2000,28.0,28.0,26.25,26.75,21968,29.712994854760645,32.84451811485503,0
86,5/11/2000,26.25,26.5,25.5,25.5,18838,28.946995790258708,32.55649779662542,0
87,5/12/2000,26.0,26.5,25.75,26.0,15530,28.41117837384803,32.299380235973445,0
88,5/15/2000,26.0,26.0,25.0,25.5,6717,27.88187321496657,32.03273787377841,0
89,5/16/2000,26.0,27.25,25.5,27.25,11375,27.766987175881738,31.845179525787103,0
90,5/18/2000,26.25,26.5,25.75,26.5,9285,27.536625871175964,31.635564642422903,0
91,5/19/2000,26.5,26.5,25.75,25.75,12945,27.211784803689426,31.404758185857297,0
92,5/22/2000,25.25,25.25,24.0,24.25,17116,26.673278475745892,31.124179433470736,0
93,5/23/2000,24.0,24.0,23.0,23.0,10785,26.005409661973907,30.805584161569925,0
94,5/24/2000,22.75,23.25,22.0,23.25,8807,25.504426087069557,30.509286743469143,0
95,5/25/2000,23.75,24.0,22.5,22.75,9365,25.003621343966,30.205000988823294,0
96,5/26/2000,22.75,23.25,21.0,23.0,14063,24.639326554153996,29.92245193043807,0
97,5/29/2000,23.25,23.5,22.75,22.75,4088,24.295812635216905,29.641179305715006,0
98,5/30/2000,23.0,23.0,22.5,22.5,1622,23.969301246995645,29.361133058432067,0
99,5/31/2000,23.0,25.25,23.0,24.25,17818,24.020337383905527,29.160696467905318,0
100,6/1/2000,24.5,25.25,24.0,24.5,11491,24.107548768649977,28.97792405739923,0
101,6/2/2000,25.25,26.0,25.0,26.0,21760,24.451630810713617,28.861142721814947,0
102,6/5/2000,26.75,27.25,26.5,26.5,20474,24.82406157240205,28.76854888958691,0
103,6/6/2000,26.5,26.5,25.25,25.75,7429,24.992414013783495,28.6501744233286,0
104,6/7/2000,25.25,25.75,25.25,25.5,5288,25.084702374913768,28.526638171433362,0
105,6/8/2000,25.75,26.0,25.5,25.75,2592,25.205665579474896,28.4177504000046,0
106,6/9/2000,25.5,26.0,25.25,25.5,5431,25.259180928661277,28.303328815690694,0
107,6/12/2000,25.25,25.75,24.75,25.25,2357,25.257511668904677,28.183590430761647,0
108,6/13/2000,24.75,24.75,24.0,24.0,7469,25.028873183649278,28.019528060927858,0
109,6/14/2000,24.25,24.25,23.0,24.0,17525,24.84180533207668,27.861899509518924,0
110,6/15/2000,23.75,25.5,23.25,24.25,31005,24.734204362608192,27.720256391498573,0
111,6/16/2000,24.75,25.0,24.0,24.25,12734,24.64616720577034,27.58416790555745,0
112,6/19/2000,23.75,24.0,23.5,23.5,6614,24.43777316835755,27.424004458280688,0
113,6/20/2000,24.0,24.0,23.5,23.5,5297,24.267268955928902,27.270121930504978,0
114,6/21/2000,23.5,23.5,23.25,23.5,3214,24.127765509396372,27.122274011661645,0
115,6/22/2000,24.5,24.75,23.25,23.25,20085,23.96817178041521,26.970420128851384,0
116,6/23/2000,23.25,23.5,23.0,23.25,2471,23.83759509306699,26.824521300268977,0
117,6/26/2000,23.25,23.25,22.75,22.75,4592,23.639850530691174,26.66473615123882,0
118,6/27/2000,23.25,23.25,22.75,23.25,2702,23.56896861602005,26.530824929621613,0
119,6/28/2000,23.25,23.5,23.0,23.5,3461,23.55642886765277,26.41196905002861,0
120,6/29/2000,23.25,23.25,22.5,22.5,5783,23.3643508917159,26.258558499047098,0
121,6/30/2000,22.5,22.75,21.75,22.0,12575,23.1162870932221,26.09155620496682,0
122,7/3/2000,22.0,22.0,20.5,20.5,12590,22.640598530818078,25.872279491046555,0
123,7/4/2000,20.5,20.75,19.75,20.25,16128,22.20594425248752,25.651797942378064,0
124,7/5/2000,20.25,20.5,19.75,20.25,9470,21.850318024762515,25.43996272895147,0
125,7/6/2000,20.0,20.5,19.75,20.5,6400,21.604805656623874,25.24623870036514,0
126,7/7/2000,20.25,21.0,20.25,20.5,6430,21.403931900874078,25.060111692507686,0
127,7/10/2000,21.0,21.25,20.5,20.5,14962,21.2395806461697,24.88128378299758,0
128,7/11/2000,20.75,21.0,20.75,20.75,8268,21.150565983229754,24.719272654252578,0
129,7/12/2000,21.0,21.0,20.25,20.5,5237,21.03228125900616,24.55381098153679,0
130,7/13/2000,20.5,20.5,20.0,20.25,5066,20.890048302823224,24.385034080300056,0
131,7/14/2000,20.5,20.5,19.25,19.75,16573,20.682766793219,24.20326803793535,0
132,7/18/2000,19.5,19.5,19.25,19.5,5813,20.467718285361,24.018826154094747,0
133,7/19/2000,19.5,19.5,19.0,19.25,7871,20.246314960749906,23.83181336373809,0
134,7/20/2000,19.0,19.0,17.5,17.75,30637,19.79243951334083,23.593310878885614,0
135,7/21/2000,18.0,18.25,17.5,17.5,14552,19.375632329097044,23.354357511086178,0
136,7/24/2000,17.25,17.25,16.25,16.25,18075,18.80733554198849,23.075755255749467,0
137,7/25/2000,16.0,17.0,15.75,16.75,23285,18.43327453435422,22.827686422190663,0
138,7/26/2000,16.75,16.75,15.5,15.5,28337,17.899951891744358,22.54032617034005,0
139,7/27/2000,15.0,15.75,14.75,15.25,22520,17.418142456881746,22.254431026405147,0
140,7/28/2000,15.5,15.75,15.25,15.5,12865,17.069389282903245,21.98955137831083,0
141,7/31/2000,15.25,15.25,14.5,14.75,10472,16.6476821405572,21.705647402690797,0
142,8/1/2000,14.75,16.0,14.5,15.75,22595,16.484467205910438,21.472092602585274,0
143,8/2/2000,15.75,16.75,15.25,16.5,40299,16.487291350290356,21.27710857895448,0
144,8/3/2000,16.5,17.75,16.25,17.75,32639,16.716874741146654,21.13879059546607,0
145,8/4/2000,18.25,18.75,18.0,18.0,46538,16.950170242756354,21.015700768192893,0
146,8/7/2000,18.5,18.5,17.5,17.75,22214,17.09559383498247,20.887634071401013,0
147,8/8/2000,18.0,19.25,17.75,19.0,31443,17.441849501349292,20.813609205855876,0
148,8/9/2000,19.5,20.0,19.0,19.0,40562,17.725149592013057,20.74248727621447,0
149,8/10/2000,19.0,19.5,18.25,18.5,25439,17.866031484374318,20.654546598715864,0
150,8/11/2000,18.5,18.75,18.25,18.75,15483,18.026753032669895,20.57985849680544,0
151,8/15/2000,19.0,19.5,19.0,19.25,18432,18.24916157218446,20.527707183205226,0
152,8/16/2000,19.25,19.75,19.0,19.75,7660,18.522041286332737,20.497208862295217,0
153,8/17/2000,19.75,20.75,19.5,20.25,38173,18.836215597908602,20.48751439710717,0
154,8/18/2000,20.25,20.25,19.5,19.75,10236,19.00235821647067,20.45859226388728,0
155,8/21/2000,19.25,19.5,18.75,18.75,8684,18.956474904385093,20.39158864569562,0
156,8/22/2000,18.75,19.5,18.75,19.25,3746,19.0098431035878,20.346820463511477,0
157,8/23/2000,19.5,19.5,18.25,18.25,10517,18.871689812026382,20.26459221004044,0
158,8/24/2000,18.25,18.75,18.25,18.5,10833,18.804109846203403,20.19539251552905,0
159,8/25/2000,18.5,18.75,18.5,18.5,4861,18.748817146893693,20.128906534527914,0
160,8/28/2000,18.5,18.75,18.0,18.25,4887,18.65812312018575,20.05522392533074,0
161,8/29/2000,18.25,19.0,18.25,18.75,4785,18.674828007424704,20.004038673356984,0
162,8/30/2000,18.75,19.0,18.5,18.5,6243,18.643041096983847,19.945056764597886,0
163,8/31/2000,18.5,18.5,18.25,18.5,5814,18.617033624804964,19.88838787186856,0
164,9/1/2000,18.75,18.75,18.5,18.5,7095,18.595754783931334,19.83394128865803,0
165,9/4/2000,18.75,18.75,18.25,18.25,2528,18.532890277762,19.77182594400477,0
166,9/5/2000,18.25,18.5,18.0,18.5,2886,18.52691022725982,19.7219504167889,0
167,9/6/2000,18.25,18.25,17.5,17.5,6141,18.340199276848942,19.63481510632659,0
168,9/7/2000,17.5,17.5,16.25,16.25,17284,17.96016304469459,19.502077259019668,0
169,9/8/2000,16.25,16.5,16.25,16.25,15469,17.649224309295573,19.374544817489486,0
170,9/11/2000,16.0,16.0,15.5,16.0,10474,17.349365343969104,19.24220972660755,0
171,9/12/2000,15.75,16.0,15.75,16.0,8449,17.104026190520177,19.115064247132743,0
172,9/13/2000,16.25,16.5,16.0,16.0,24215,16.903294155880143,18.992904864892246,0
173,9/14/2000,16.0,16.0,15.5,15.5,14575,16.648149763901934,18.855928203523924,0
174,9/15/2000,15.75,16.25,15.75,16.25,11844,16.575758897737945,18.753734940640634,0
175,9/18/2000,16.0,16.0,15.75,15.75,8348,16.425620916331045,18.635941413556687,0
176,9/19/2000,15.75,16.25,15.75,15.75,5067,16.3027807497254,18.522767240476032,0
177,9/20/2000,16.0,16.0,15.5,15.75,10028,16.202275158866236,18.414031270261287,0
178,9/21/2000,15.75,16.0,15.75,16.0,4408,16.16549785725419,18.319363377309866,0
179,9/22/2000,16.0,16.0,15.75,15.75,11958,16.089952792298885,18.218604029180067,0
180,9/25/2000,16.0,16.5,16.0,16.25,11968,16.119052284608177,18.141403871173004,0
181,9/26/2000,16.25,17.0,16.25,17.0,18792,16.2792245964976,18.096642935048575,0
182,9/27/2000,16.75,17.25,16.5,17.0,17287,16.41027466986167,18.053637329752554,0
183,9/28/2000,17.0,17.0,16.25,16.25,11451,16.381133820795913,17.982906454075984,0
184,9/29/2000,16.5,16.5,16.0,16.0,5925,16.311836762469383,17.90514541666124,0
185,10/2/2000,16.0,16.5,16.0,16.25,13378,16.300593714747677,17.840237753262763,0
186,10/3/2000,16.25,16.25,16.0,16.25,15848,16.291394857520825,17.77787548842893,0
187,10/4/2000,16.25,16.75,16.25,16.5,9660,16.32932306524431,17.727762724176817,0
188,10/5/2000,16.5,17.0,16.25,16.5,10522,16.36035523519989,17.679615166365963,0
189,10/6/2000,16.25,16.75,16.25,16.75,6842,16.431199737890818,17.64315966964573,0
190,10/9/2000,16.5,16.75,16.5,16.75,6696,16.489163421910668,17.60813380024786,0
191,10/10/2000,16.75,17.0,16.5,16.75,5898,16.536588254290546,17.574481494355787,0
192,10/11/2000,16.75,16.75,16.5,16.5,8018,16.529935844419537,17.532344965165365,0
193,10/12/2000,16.5,17.0,16.5,17.0,16551,16.615402054525074,17.511468692021626,0
194,10/13/2000,16.5,17.0,16.25,16.5,22831,16.59441986279324,17.471803253118818,0
195,10/16/2000,17.0,17.5,16.75,17.0,17069,16.668161705921744,17.453301164761218,0
196,10/17/2000,17.25,18.0,17.25,17.75,23484,16.864859577572336,17.464936413201954,0
197,10/18/2000,17.75,19.25,17.75,19.25,42446,17.29852147255918,17.534938906801877,0
198,10/19/2000,19.0,19.5,18.5,19.0,49520,17.607881204821147,17.592392283005726,1
199,10/20/2000,19.5,19.5,18.75,18.75,53798,17.815539167580937,17.637788664064324,0
200,10/24/2000,19.0,19.0,18.0,18.0,17304,17.849077500748038,17.65199303017945,0
201,10/25/2000,18.0,18.25,17.5,17.5,12014,17.785608864248395,17.646032519192023,0
202,10/26/2000,17.5,18.25,17.5,18.25,14613,17.870043616203233,17.669717518439395,0
203,10/27/2000,18.5,18.5,18.0,18.0,6812,17.893672049620825,17.682669772618244,0
204,10/30/2000,18.0,18.25,17.5,17.75,6836,17.867549858780674,17.685310173692038,0
205,10/31/2000,17.75,18.25,17.75,18.0,5696,17.891631702638733,17.697650951194312,0
206,11/1/2000,18.25,19.0,18.0,19.0,13772,18.09315321124987,17.748723462912185,0
207,11/2/2000,19.0,19.25,18.5,18.75,15031,18.21257990011353,17.787989209464648,0
208,11/3/2000,19.0,19.5,19.0,19.5,18357,18.446656281911068,17.855126887524857,0
209,11/6/2000,19.5,21.0,19.5,20.75,51892,18.865446048836326,17.968651323308197,0
210,11/7/2000,21.25,21.5,20.5,21.0,38672,19.25354676722972,18.087527742001996,0
211,11/8/2000,21.5,22.25,21.0,21.75,38173,19.707447355006135,18.23115410506074,0
212,11/9/2000,21.5,21.75,20.75,20.75,17139,19.897002381368655,18.329932375450515,0
213,11/10/2000,20.75,21.0,20.5,20.75,10470,20.052092857483444,18.424836988177944,0
214,11/13/2000,20.5,20.5,20.0,20.25,8635,20.088075974304637,18.496412008249397,0
215,11/14/2000,20.25,20.75,20.25,20.5,8512,20.16297125170379,18.574984086357265,0
216,11/15/2000,20.75,21.25,20.75,21.0,18451,20.31515829684856,18.670082749637373,0
217,11/16/2000,20.75,21.0,20.5,20.75,6155,20.394220424694275,18.751648132004533,0
218,11/17/2000,20.75,21.5,20.75,21.5,12567,20.595271256568044,18.859426636631806,0
219,11/20/2000,21.5,21.5,20.75,20.75,8299,20.623403755373854,18.933566768528596,0
