,Date,Open,High,Low,Close,Volume,MACD,Signal
0,1/4/2000,45.5,46.0,45.25,45.75,37461,,0
1,1/5/2000,43.5,44.25,43.0,43.5,27363,,0
2,1/6/2000,43.75,43.75,42.25,42.5,11591,,0
3,1/7/2000,43.0,44.0,42.5,43.75,9750,,0
4,1/10/2000,44.5,45.25,43.75,43.75,17305,,0
5,1/11/2000,44.25,44.5,43.0,43.0,10539,,0
6,1/12/2000,42.75,43.75,42.75,43.75,5430,,0
7,1/13/2000,43.5,44.0,43.25,43.5,4684,,0
8,1/14/2000,44.0,44.5,43.75,44.5,8893,,0
9,1/17/2000,45.25,45.75,45.0,45.0,24458,,0
10,1/18/2000,45.0,46.25,45.0,46.25,18248,,0
11,1/19/2000,45.5,46.5,45.5,46.5,20148,,0
12,1/20/2000,46.5,47.0,46.25,46.5,18246,,0
13,1/21/2000,46.0,46.0,45.0,45.25,15097,,0
14,1/24/2000,45.25,45.5,44.25,44.75,5300,,0
15,1/25/2000,44.25,44.25,43.25,44.25,7996,,0
16,1/26/2000,44.5,44.5,43.5,43.5,12071,,0
17,1/27/2000,43.75,44.25,43.5,44.25,3250,,0
18,1/28/2000,44.25,44.5,44.25,44.5,3141,,0
19,1/31/2000,43.75,44.25,43.5,43.75,5535,,0
20,2/1/2000,44.25,44.75,43.5,43.5,5826,,0
21,2/2/2000,44.0,44.0,42.75,43.0,6874,,0
22,2/3/2000,43.0,43.25,41.75,42.5,11475,,0
23,2/4/2000,42.5,43.0,42.0,43.0,6648,,0
24,2/7/2000,42.75,42.75,42.0,42.0,4442,,0
25,2/8/2000,42.5,42.5,41.0,41.0,10609,-0.7873252916689566,0
26,2/9/2000,41.25,41.25,39.75,39.75,17379,-0.996404829506929,0
27,2/10/2000,39.5,40.0,39.25,39.75,10142,-1.1488585434311815,0
28,2/11/2000,40.0,40.25,38.0,39.0,17426,-1.3150389911674907,0
29,2/14/2000,38.5,38.5,37.0,37.25,9949,-1.5698522879276524,0
30,2/15/2000,37.25,38.5,36.75,37.75,16159,-1.711716240797557,0
31,2/16/2000,38.0,38.25,37.0,37.0,18289,-1.863185534461465,0
32,2/17/2000,37.0,37.25,35.0,35.75,19427,-2.0603402741188077,0
33,2/18/2000,35.75,36.0,34.0,35.0,30863,-2.2511556368233485,0
34,2/22/2000,34.0,34.0,31.5,31.5,39894,-2.6542029365283497,0
35,2/23/2000,31.5,33.5,31.0,33.25,18530,-2.8001322689293815,0
36,2/24/2000,33.5,34.25,33.25,33.5,17593,-2.862611007774298,0
37,2/25/2000,33.5,33.5,32.25,33.25,12470,-2.8988822589174745,0
38,2/28/2000,32.5,32.5,31.25,31.5,14812,-3.0338653501673463,0
39,2/29/2000,31.75,32.25,29.5,29.5,21454,-3.2645915287800094,0
40,3/1/2000,30.0,30.5,28.0,28.25,34442,-3.5078716797867386,0
41,3/2/2000,28.25,31.0,28.25,30.75,29043,-3.4590698416320507,0
42,3/3/2000,31.5,31.5,29.0,29.5,20966,-3.481130283629007,0
43,3/6/2000,28.25,28.75,27.5,28.25,10231,-3.5584582050382636,0
44,3/7/2000,28.0,29.25,27.75,29.0,4951,-3.518661468763021,0
45,3/8/2000,28.25,29.5,28.25,29.25,7046,-3.4274399634902437,0
46,3/9/2000,29.75,30.75,29.25,30.0,8482,-3.257081918464678,0
47,3/10/2000,30.5,31.5,30.0,31.25,15802,-2.9867776732912077,0
48,3/13/2000,31.25,31.25,29.75,30.25,4026,-2.820735570396991,0
49,3/14/2000,30.0,31.75,30.0,31.75,6601,-2.538842349378484,0
50,3/15/2000,31.75,32.5,30.5,30.5,10882,-2.3887682605534017,0
51,3/16/2000,31.0,32.0,31.0,32.0,7678,-2.124308296253936,0
52,3/17/2000,33.0,33.25,32.0,32.0,7416,-1.8929016769736897,0
53,3/20/2000,32.5,32.5,31.75,31.75,2287,-1.709971685492313,0
54,3/21/2000,32.0,32.75,31.75,32.0,3339,-1.5272205903374712,0
55,3/22/2000,32.25,32.25,30.75,31.0,5142,-1.446407389400342,0
56,3/23/2000,31.0,31.75,31.0,31.5,1587,-1.3267228885020224,0
57,3/24/2000,31.75,33.0,31.75,32.75,5485,-1.1181185315189879,0
58,3/27/2000,33.0,33.5,32.75,32.75,7028,-0.9419399779679622,0
59,3/28/2000,33.0,33.75,33.0,33.0,8822,-0.7732309690266419,0
60,3/29/2000,34.0,34.25,33.25,33.75,8892,-0.5724107373030805,0
61,3/30/2000,33.75,34.0,31.75,32.25,7248,-0.5282078692882877,0
62,3/31/2000,32.0,32.5,31.75,32.25,3534,-0.4875565297406439,0
63,4/3/2000,32.25,32.75,32.25,32.5,1715,-0.4302079699270749,0
64,4/4/2000,32.25,32.25,31.5,32.0,2586,-0.42026014705402304,0
65,4/5/2000,32.25,32.75,32.25,32.5,2090,-0.3677909394235286,0
66,4/7/2000,33.0,33.25,32.75,33.0,3485,-0.2826051962438072,0
67,4/10/2000,33.5,33.5,32.75,33.5,3287,-0.17275761744210172,0
68,4/11/2000,33.0,33.0,32.5,33.0,1506,-0.12461199168644299,0
69,4/12/2000,32.75,34.25,32.75,34.25,6367,0.01424411956583782,1
70,4/17/2000,32.0,33.25,31.75,33.0,6975,0.023157094255630284,0
71,4/18/2000,33.5,34.0,33.0,33.0,6089,0.029876295573778577,0
72,4/19/2000,33.25,33.75,33.0,33.0,3651,0.03480015648601409,0
73,4/20/2000,33.5,33.75,33.5,33.5,2315,0.07814733917809491,0
74,4/21/2000,33.75,34.0,33.0,33.5,6352,0.1112182391313965,0
75,4/24/2000,33.5,33.5,32.75,33.0,13507,0.09597500417593352,0
76,4/25/2000,33.0,33.25,32.75,33.0,7149,0.08293856648518272,0
77,4/26/2000,33.0,33.0,32.0,32.25,6155,0.011950604573797818,0
78,4/27/2000,32.25,32.75,32.25,32.75,7324,-0.003916893841953595,-1
79,4/28/2000,32.5,32.5,31.75,31.75,8298,-0.09607613740026011,0
80,5/2/2000,31.75,32.0,30.5,30.5,9096,-0.2669008879100403,0
81,5/3/2000,30.5,30.5,29.5,29.5,12257,-0.4774684173645909,0
82,5/4/2000,29.5,30.0,29.25,29.5,6901,-0.6370017419530356,0
83,5/8/2000,29.5,29.5,28.5,28.75,7154,-0.8145620191439455,0
84,5/9/2000,28.5,28.75,28.0,28.0,10945,-1.0042224982064063,0
85,5/10/2000,28.0,28.0,26.25,26.75,21968,-1.2410878593156696,0
86,5/11/2000,26.25,26.5,25.5,25.5,18838,-1.5122377820159123,0
87,5/12/2000,26.0,26.5,25.75,26.0,15530,-1.6675576612595115,0
88,5/15/2000,26.0,26.0,25.0,25.5,6717,-1.810129559114074,0
89,5/16/2000,26.0,27.25,25.5,27.25,11375,-1.7616017918022457,0
90,5/18/2000,26.25,26.5,25.75,26.5,9285,-1.7633352870217287,0
91,5/19/2000,26.5,26.5,25.75,25.75,12945,-1.8044275093501412,0
92,5/22/2000,25.25,25.25,24.0,24.25,17116,-1.9357171136319415,0
93,5/23/2000,24.0,24.0,23.0,23.0,10785,-2.1162349846375434,0
94,5/24/2000,22.75,23.25,22.0,23.25,8807,-2.2136067071104506,0
95,5/25/2000,23.75,24.0,22.5,22.75,9365,-2.30455484628882,0
96,5/26/2000,22.75,23.25,21.0,23.0,14063,-2.3296047576531933,0
97,5/29/2000,23.25,23.5,22.75,22.75,4088,-2.3426255741619997,0
98,5/30/2000,23.0,23.0,22.5,22.5,1622,-2.346073500781017,0
99,5/31/2000,23.0,25.25,23.0,24.25,17818,-2.1824378478382975,0
100,6/1/2000,24.5,25.25,24.0,24.5,11491,-2.0094191699163524,0
101,6/2/2000,25.25,26.0,25.0,26.0,21760,-1.731305742257664,0
102,6/5/2000,26.75,27.25,26.5,26.5,20474,-1.4537945867728475,0
103,6/6/2000,26.5,26.5,25.25,25.75,7429,-1.2796329169568494,0
104,6/7/2000,25.25,25.75,25.25,25.5,5288,-1.148541774884979,0
105,6/8/2000,25.75,26.0,25.5,25.75,2592,-1.012803224545081,0
106,6/9/2000,25.5,26.0,25.25,25.5,5431,-0.9148564603238505,0
107,6/12/2000,25.25,25.75,24.75,25.25,2357,-0.8476348477821531,0
108,6/13/2000,24.75,24.75,24.0,24.0,7469,-0.8850237855596639,0
109,6/14/2000,24.25,24.25,23.0,24.0,17525,-0.9042313717322479,0
110,6/15/2000,23.75,25.5,23.25,24.25,31005,-0.8890323993975819,0
111,6/16/2000,24.75,25.0,24.0,24.25,12734,-0.8669929492846933,0
112,6/19/2000,23.75,24.0,23.5,23.5,6614,-0.8996743721388683,0
113,6/20/2000,24.0,24.0,23.5,23.5,5297,-0.9150267761170525,0
114,6/21/2000,23.5,23.5,23.25,23.5,3214,-0.9166273572838151,0
115,6/22/2000,24.5,24.75,23.25,23.25,20085,-0.9273784980009765,0
116,6/23/2000,23.25,23.5,23.0,23.25,2471,-0.9252333404659758,0
117,6/26/2000,23.25,23.25,22.75,22.75,4592,-0.9528947316796845,0
118,6/27/2000,23.25,23.25,22.75,23.25,2702,-0.9238215227254152,0
119,6/28/2000,23.25,23.5,23.0,23.5,3461,-0.8705724670179329,0
120,6/29/2000,23.25,23.25,22.5,22.5,5783,-0.8987041473950583,0
121,6/30/2000,22.5,22.75,21.75,22.0,12575,-0.9503890348997004,0
122,7/3/2000,22.0,22.0,20.5,20.5,12590,-1.0997103680170177,0
123,7/4/2000,20.5,20.75,19.75,20.25,16128,-1.2241107245275415,0
124,7/5/2000,20.25,20.5,19.75,20.25,9470,-1.3076254115425954,0
125,7/6/2000,20.0,20.5,19.75,20.5,6400,-1.3382124123487777,0
126,7/7/2000,20.25,21.0,20.25,20.5,6430,-1.3469263028681624,0
127,7/10/2000,21.0,21.25,20.5,20.5,14962,-1.338403837572887,0
128,7/11/2000,20.75,21.0,20.75,20.75,8268,-1.2965312070700605,0
129,7/12/2000,21.0,21.0,20.25,20.5,5237,-1.2688927506126326,0
130,7/13/2000,20.5,20.5,20.0,20.25,5066,-1.2527213929823091,0
131,7/14/2000,20.5,20.5,19.25,19.75,16573,-1.2656615385086063,0
132,7/18/2000,19.5,19.5,19.25,19.5,5813,-1.2813193557897975,0
133,7/19/2000,19.5,19.5,19.0,19.25,7871,-1.2989279664142082,0
134,7/20/2000,19.0,19.0,17.5,17.75,30637,-1.417579408169356,0
135,7/21/2000,18.0,18.25,17.5,17.5,14552,-1.514328208311774,0
136,7/24/2000,17.25,17.25,16.25,16.25,18075,-1.6725863484995713,0
137,7/25/2000,16.0,17.0,15.75,16.75,23285,-1.7376309159002759,0
138,7/26/2000,16.75,16.75,15.5,15.5,28337,-1.868504797300826,0
139,7/27/2000,15.0,15.75,14.75,15.25,22520,-1.9696908320471138,0
140,7/28/2000,15.5,15.75,15.25,15.5,12865,-2.0065780007851224,0
141,7/31/2000,15.25,15.25,14.5,14.75,10472,-2.072440278277462,0
142,8/1/2000,14.75,16.0,14.5,15.75,22595,-2.0206521449363883,0
143,8/2/2000,15.75,16.75,15.25,16.5,40299,-1.8972209618921134,0
144,8/3/2000,16.5,17.75,16.25,17.75,32639,-1.6791797676335811,0
145,8/4/2000,18.25,18.75,18.0,18.0,46538,-1.4692708004209578,0
146,8/7/2000,18.5,18.5,17.5,17.75,22214,-1.3080114010330526,0
147,8/8/2000,18.0,19.25,17.75,19.0,31443,-1.0670473542073964,0
148,8/9/2000,19.5,20.0,19.0,19.0,40562,-0.8660977750225385,0
149,8/10/2000,19.0,19.5,18.25,18.5,25439,-0.7386746258033767,0
150,8/11/2000,18.5,18.75,18.25,18.75,15483,-0.6104807097393241,0
151,8/15/2000,19.0,19.5,19.0,19.25,18432,-0.4632007959029387,0
152,8/16/2000,19.25,19.75,19.0,19.75,7660,-0.3026458685849356,0
153,8/17/2000,19.75,20.75,19.5,20.25,38173,-0.13351997546017813,0
154,8/18/2000,20.25,20.25,19.5,19.75,10236,-0.039378378562314964,0
155,8/21/2000,19.25,19.5,18.75,18.75,8684,-0.04494404049632905,0
156,8/22/2000,18.75,19.5,18.75,19.25,3746,-0.008906379156922384,0
157,8/23/2000,19.5,19.5,18.25,18.25,10517,-0.06034232677810891,0
158,8/24/2000,18.25,18.75,18.25,18.5,10833,-0.0800104643527888,0
159,8/25/2000,18.5,18.75,18.5,18.5,4861,-0.09450817368506037,0
160,8/28/2000,18.5,18.75,18.0,18.25,4887,-0.12473278158145007,0
161,8/29/2000,18.25,19.0,18.25,18.75,4785,-0.10710553384692645,0
162,8/30/2000,18.75,19.0,18.5,18.5,6243,-0.11201745617632497,0
163,8/31/2000,18.5,18.5,18.25,18.5,5814,-0.11458927616458325,0
164,9/1/2000,18.75,18.75,18.5,18.5,7095,-0.11529837414780886,0
165,9/4/2000,18.75,18.75,18.25,18.25,2528,-0.13448301360307013,0
166,9/5/2000,18.25,18.5,18.0,18.5,2886,-0.1280381241323667,0
167,9/6/2000,18.25,18.25,17.5,17.5,6141,-0.20130166515524195,0
168,9/7/2000,17.5,17.5,16.25,16.25,17284,-0.35612293900329917,0
169,9/8/2000,16.25,16.5,16.25,16.25,15469,-0.47336327675886025,0
170,9/11/2000,16.0,16.0,15.5,16.0,10474,-0.5797668088834911,0
171,9/12/2000,15.75,16.0,15.75,16.0,8449,-0.6565243704183601,0
172,9/13/2000,16.25,16.5,16.0,16.0,24215,-0.7091803018725358,0
173,9/14/2000,16.0,16.0,15.5,15.5,14575,-0.7822391621073166,0
174,9/15/2000,15.75,16.25,15.75,16.25,11844,-0.7707355436347711,0
175,9/18/2000,16.0,16.0,15.75,15.75,8348,-0.792825465986656,0
176,9/19/2000,15.75,16.25,15.75,15.75,5067,-0.8010973371627834,0
177,9/20/2000,16.0,16.0,15.5,15.75,10028,-0.7984488335296902,0
178,9/21/2000,15.75,16.0,15.75,16.0,4408,-0.7673316431216541,0
179,9/22/2000,16.0,16.0,15.75,15.75,11958,-0.7541505777806385,0
180,9/25/2000,16.0,16.5,16.0,16.25,11968,-0.6953431838208033,0
181,9/26/2000,16.25,17.0,16.25,17.0,18792,-0.5815158160879328,0
182,9/27/2000,16.75,17.25,16.5,17.0,17287,-0.4857078691053367,0
183,9/28/2000,17.0,17.0,16.25,16.25,11451,-0.46493859019754424,0
184,9/29/2000,16.5,16.5,16.0,16.0,5925,-0.463310937603719,0
185,10/2/2000,16.0,16.5,16.0,16.25,13378,-0.43681279454469646,0
186,10/3/2000,16.25,16.25,16.0,16.25,15848,-0.4110742175663198,0
187,10/4/2000,16.25,16.75,16.25,16.5,9660,-0.36628103939162315,0
188,10/5/2000,16.5,17.0,16.25,16.5,10522,-0.3270125261277812,0
189,10/6/2000,16.25,16.75,16.25,16.75,6842,-0.2725769385150514,0
190,10/9/2000,16.5,16.75,16.5,16.75,6696,-0.2268216839635997,0
191,10/10/2000,16.75,17.0,16.5,16.75,5898,-0.18838868756045102,0
192,10/11/2000,16.75,16.75,16.5,16.5,8018,-0.17607350590487414,0
193,10/12/2000,16.5,17.0,16.5,17.0,16551,-0.12453228374275938,0
194,10/13/2000,16.5,17.0,16.25,16.5,22831,-0.12261785288933069,0
195,10/16/2000,17.0,17.5,16.75,17.0,17069,-0.07983454834161208,0
196,10/17/2000,17.25,18.0,17.25,17.75,23484,0.014423989960352657,1
197,10/18/2000,17.75,19.25,17.75,19.25,42446,0.20776701580992452,0
198,10/19/2000,19.0,19.5,18.5,19.0,49520,0.33693585924408964,0
199,10/20/2000,19.5,19.5,18.75,18.75,53798,0.41435377521964156,0
200,10/24/2000,19.0,19.0,18.0,18.0,17304,0.4104577974202037,0
201,10/25/2000,18.0,18.25,17.5,17.5,12014,0.3628417715383634,0
202,10/26/2000,17.5,18.25,17.5,18.25,14613,0.3812298792202462,0
203,10/27/2000,18.5,18.5,18.0,18.0,6812,0.37134899630183327,0
204,10/30/2000,18.0,18.25,17.5,17.75,6836,0.33943264647912486,0
205,10/31/2000,17.75,18.25,17.75,18.0,5696,0.33050180093165693,0
206,11/1/2000,18.25,19.0,18.0,19.0,13772,0.39951037720151206,0
207,11/2/2000,19.0,19.25,18.5,18.75,15031,0.4290810808066503,0
208,11/3/2000,19.0,19.5,19.0,19.5,18357,0.5071882579239961,0
209,11/6/2000,19.5,21.0,19.5,20.75,51892,0.66231851625896,0
210,11/7/2000,21.25,21.5,20.5,21.0,38672,0.7962545475326905,0
211,11/8/2000,21.5,22.25,21.0,21.75,38173,0.9519451185017687,0
212,11/9/2000,21.5,21.75,20.75,20.75,17139,0.9833044533806508,0
213,11/10/2000,20.75,21.0,20.5,20.75,10470,0.99666798408769,0
214,11/13/2000,20.5,20.5,20.0,20.25,8635,0.9558939071876473,0
215,11/14/2000,20.25,20.75,20.25,20.5,8512,0.9329980474262136,0
216,11/15/2000,20.75,21.25,20.75,21.0,18451,0.9443132792663889,0
217,11/16/2000,20.75,21.0,20.5,20.75,6155,0.9224740645626355,0
218,11/17/2000,20.75,21.5,20.75,21.5,12567,0.9546801035888954,0
219,11/20/2000,21.5,21.5,20.75,20.75,8299,0.9092041500785406,0
220,11/21/2000,20.5,20.75,20.25,20.5,13753,0.8432705209740909,0
221,11/22/2000,20.5,20.75,20.25,20.25,2502,0.7620601788441199,0
222,11/23/2000,20.0,20.25,20.0,20.25,4462,0.6897493959349497,0
223,11/24/2000,20.0,20.5,20.0,20.25,1849,0.6252352566649755,0
224,11/27/2000,20.5,20.75,20.25,20.5,2494,0.5875078226880426,0
225,11/28/2000,20.5,20.5,20.0,20.25,4042,0.5313110260088152,0
226,11/29/2000,20.25,20.25,20.0,20.0,5347,0.4612843502514892,0
227,11/30/2000,20.0,20.0,19.5,19.75,4420,0.3812203239430261,0
228,12/1/2000,19.75,19.75,19.0,19.0,5975,0.2543186472176657,0
229,12/4/2000,19.0,19.25,18.75,19.25,3674,0.17193905836198553,0
230,12/6/2000,19.75,19.75,19.0,19.25,6635,0.10543722597235572,0
231,12/7/2000,19.25,19.25,19.0,19.25,4235,0.05213308690956708,0
232,12/8/2000,19.25,19.25,18.5,18.75,5955,-0.030109564343721473,-1
233,12/12/2000,18.75,19.0,18.5,18.5,4558,-0.11414458097414482,0
234,12/13/2000,18.5,18.75,18.0,18.75,11185,-0.15874016857947737,0
235,12/14/2000,18.75,19.0,18.5,18.5,2667,-0.21181374669100705,0
236,12/15/2000,18.75,19.25,18.75,19.0,8951,-0.21109573812664095,0
237,12/18/2000,19.0,19.0,18.75,18.75,2514,-0.22807056630981393,0
238,12/19/2000,19.0,19.0,18.75,19.0,6763,-0.21882781840420762,0
239,12/20/2000,19.0,19.25,18.75,18.75,3149,-0.22903560487811703,0
240,12/21/2000,18.75,19.0,18.5,18.75,2666,-0.23442306602003526,0
241,12/22/2000,18.75,19.25,18.75,19.0,13122,-0.2160295034842683,0
242,12/25/2000,19.25,19.25,19.0,19.0,938,-0.19915671798206702,0
243,12/26/2000,19.0,19.0,18.75,19.0,14984,-0.1836677069135959,0
244,12/27/2000,19.0,19.25,19.0,19.25,8024,-0.14949634260737454,0
245,12/28/2000,19.25,19.75,19.25,19.75,16280,-0.08113420427505957,0
246,12/29/2000,19.75,19.75,19.5,19.75,839,-0.02664951806854532,0
247,1/3/2001,19.25,19.75,19.25,19.5,3435,-0.0036014075868777695,0
248,1/4/2001,20.0,20.75,20.0,20.5,26470,0.09426935028436034,1
249,1/5/2001,20.5,22.0,20.5,22.0,32012,0.2895325440548824,0
250,1/8/2001,23.0,27.5,22.75,26.5,137325,0.7981913705810193,0
