,Date,Open,High,Low,Close,Volume,MACD,SL,Signal
0,1/4/2000,45.5,46.0,45.25,45.75,37461,,,0
1,1/5/2000,43.5,44.25,43.0,43.5,27363,,,0
2,1/6/2000,43.75,43.75,42.25,42.5,11591,,,0
3,1/7/2000,43.0,44.0,42.5,43.75,9750,,,0
4,1/10/2000,44.5,45.25,43.75,43.75,17305,,,0
5,1/11/2000,44.25,44.5,43.0,43.0,10539,,,0
6,1/12/2000,42.75,43.75,42.75,43.75,5430,,,0
7,1/13/2000,43.5,44.0,43.25,43.5,4684,,,0
8,1/14/2000,44.0,44.5,43.75,44.5,8893,,,0
9,1/17/2000,45.25,45.75,45.0,45.0,24458,,,0
10,1/18/2000,45.0,46.25,45.0,46.25,18248,,,0
11,1/19/2000,45.5,46.5,45.5,46.5,20148,,,0
12,1/20/2000,46.5,47.0,46.25,46.5,18246,,,0
13,1/21/2000,46.0,46.0,45.0,45.25,15097,,,0
14,1/24/2000,45.25,45.5,44.25,44.75,5300,,,0
15,1/25/2000,44.25,44.25,43.25,44.25,7996,,,0
16,1/26/2000,44.5,44.5,43.5,43.5,12071,,,0
17,1/27/2000,43.75,44.25,43.5,44.25,3250,,,0
18,1/28/2000,44.25,44.5,44.25,44.5,3141,,,0
19,1/31/2000,43.75,44.25,43.5,43.75,5535,,,0
20,2/1/2000,44.25,44.75,43.5,43.5,5826,,,0
21,2/2/2000,44.0,44.0,42.75,43.0,6874,,,0
22,2/3/2000,43.0,43.25,41.75,42.5,11475,,,0
23,2/4/2000,42.5,43.0,42.0,43.0,6648,,,0
24,2/7/2000,42.75,42.75,42.0,42.0,4442,,,0
25,2/8/2000,42.5,42.5,41.0,41.0,10609,-0.7873252916689566,,0
26,2/9/2000,41.25,41.25,39.75,39.75,17379,-0.996404829506929,,0
27,2/10/2000,39.5,40.0,39.25,39.75,10142,-1.1488585434311815,,0
28,2/11/2000,40.0,40.25,38.0,39.0,17426,-1.3150389911674907,,0
29,2/14/2000,38.5,38.5,37.0,37.25,9949,-1.5698522879276524,,0
30,2/15/2000,37.25,38.5,36.75,37.75,16159,-1.711716240797557,,0
31,2/16/2000,38.0,38.25,37.0,37.0,18289,-1.863185534461465,,0
32,2/17/2000,37.0,37.25,35.0,35.75,19427,-2.0603402741188077,,0
33,2/18/2000,35.75,36.0,34.0,35.0,30863,-2.2511556368233485,-1.6425545446725804,0
34,2/22/2000,34.0,34.0,31.5,31.5,39894,-2.6542029365283497,-1.8448842230437346,0
35,2/23/2000,31.5,33.5,31.0,33.25,18530,-2.8001322689293815,-2.0359338322208638,0
36,2/24/2000,33.5,34.25,33.25,33.5,17593,-2.862611007774298,-2.2012692673315506,0
37,2/25/2000,33.5,33.5,32.25,33.25,12470,-2.8988822589174745,-2.340791865648735,0
38,2/28/2000,32.5,32.5,31.25,31.5,14812,-3.0338653501673463,-2.4794065625524575,0
39,2/29/2000,31.75,32.25,29.5,29.5,21454,-3.2645915287800094,-2.636443555797968,0
40,3/1/2000,30.0,30.5,28.0,28.25,34442,-3.5078716797867386,-2.810729180595722,0
41,3/2/2000,28.25,31.0,28.25,30.75,29043,-3.4590698416320507,-2.940397312802988,0
42,3/3/2000,31.5,31.5,29.0,29.5,20966,-3.481130283629007,-3.0485439069681917,0
43,3/6/2000,28.25,28.75,27.5,28.25,10231,-3.5584582050382636,-3.1505267665822063,0
44,3/7/2000,28.0,29.25,27.75,29.0,4951,-3.518661468763021,-3.2241537070183695,0
45,3/8/2000,28.25,29.5,28.25,29.25,7046,-3.4274399634902437,-3.2648109583127445,0
46,3/9/2000,29.75,30.75,29.25,30.0,8482,-3.257081918464678,-3.2632651503431314,1
47,3/10/2000,30.5,31.5,30.0,31.25,15802,-2.9867776732912077,-3.2079676549327467,0
48,3/13/2000,31.25,31.25,29.75,30.25,4026,-2.820735570396991,-3.1305212380255956,0
49,3/14/2000,30.0,31.75,30.0,31.75,6601,-2.538842349378484,-3.0121854602961737,0
50,3/15/2000,31.75,32.5,30.5,30.5,10882,-2.3887682605534017,-2.8875020203476196,0
51,3/16/2000,31.0,32.0,31.0,32.0,7678,-2.124308296253936,-2.734863275528883,0
52,3/17/2000,33.0,33.25,32.0,32.0,7416,-1.8929016769736897,-2.5664709558178447,0
53,3/20/2000,32.5,32.5,31.75,31.75,2287,-1.709971685492313,-2.3951711017527386,0
54,3/21/2000,32.0,32.75,31.75,32.0,3339,-1.5272205903374712,-2.221580999469685,0
55,3/22/2000,32.25,32.25,30.75,31.0,5142,-1.446407389400342,-2.0665462774558168,0
56,3/23/2000,31.0,31.75,31.0,31.5,1587,-1.3267228885020224,-1.918581599665058,0
57,3/24/2000,31.75,33.0,31.75,32.75,5485,-1.1181185315189879,-1.758488986035844,0
58,3/27/2000,33.0,33.5,32.75,32.75,7028,-0.9419399779679622,-1.5951791844222678,0
59,3/28/2000,33.0,33.75,33.0,33.0,8822,-0.7732309690266419,-1.4307895413431426,0
60,3/29/2000,34.0,34.25,33.25,33.75,8892,-0.5724107373030805,-1.2591137805351302,0
61,3/30/2000,33.75,34.0,31.75,32.25,7248,-0.5282078692882877,-1.1129325982857616,0
62,3/31/2000,32.0,32.5,31.75,32.25,3534,-0.4875565297406439,-0.9878573845767382,0
63,4/3/2000,32.25,32.75,32.25,32.5,1715,-0.4302079699270749,-0.8763275016468056,0
64,4/4/2000,32.25,32.25,31.5,32.0,2586,-0.42026014705402304,-0.7851140307282491,0
65,4/5/2000,32.25,32.75,32.25,32.5,2090,-0.3677909394235286,-0.7016494124673051,0
66,4/7/2000,33.0,33.25,32.75,33.0,3485,-0.2826051962438072,-0.6178405692226054,0
67,4/10/2000,33.5,33.5,32.75,33.5,3287,-0.17275761744210172,-0.5288239788665048,0
68,4/11/2000,33.0,33.0,32.5,33.0,1506,-0.12461199168644299,-0.44798158143049244,0
69,4/12/2000,32.75,34.25,32.75,34.25,6367,0.01424411956583782,-0.3555364412312264,0
70,4/17/2000,32.0,33.25,31.75,33.0,6975,0.023157094255630284,-0.27979773413385506,0
71,4/18/2000,33.5,34.0,33.0,33.0,6089,0.029876295573778577,-0.21786292819232833,0
72,4/19/2000,33.25,33.75,33.0,33.0,3651,0.03480015648601409,-0.16733031125665984,0
73,4/20/2000,33.5,33.75,33.5,33.5,2315,0.07814733917809491,-0.11823478116970888,0
74,4/21/2000,33.75,34.0,33.0,33.5,6352,0.1112182391313965,-0.07234417710948782,0
75,4/24/2000,33.5,33.5,32.75,33.0,13507,0.09597500417593352,-0.03868034085240356,0
76,4/25/2000,33.0,33.25,32.75,33.0,7149,0.08293856648518272,-0.014356559384886301,0
77,4/26/2000,33.0,33.0,32.0,32.25,6155,0.011950604573797818,-0.009095126593149478,0
78,4/27/2000,32.25,32.75,32.25,32.75,7324,-0.003916893841953595,-0.008059480042910301,0
79,4/28/2000,32.5,32.5,31.75,31.75,8298,-0.09607613740026011,-0.025662811514380265,-1
80,5/2/2000,31.75,32.0,30.5,30.5,9096,-0.2669008879100403,-0.07391042679351227,0
81,5/3/2000,30.5,30.5,29.5,29.5,12257,-0.4774684173645909,-0.154622024907728,0
82,5/4/2000,29.5,30.0,29.25,29.5,6901,-0.6370017419530356,-0.25109796831678954,0
83,5/8/2000,29.5,29.5,28.5,28.75,7154,-0.8145620191439455,-0.36379077848222074,0
84,5/9/2000,28.5,28.75,28.0,28.0,10945,-1.0042224982064063,-0.4918771224270579,0
85,5/10/2000,28.0,28.0,26.25,26.75,21968,-1.2410878593156696,-0.6417192698047802,0
86,5/11/2000,26.25,26.5,25.5,25.5,18838,-1.5122377820159123,-0.8158229722470067,0
87,5/12/2000,26.0,26.5,25.75,26.0,15530,-1.6675576612595115,-0.9861699100495077,0
88,5/15/2000,26.0,26.0,25.0,25.5,6717,-1.810129559114074,-1.150961839862421,0
89,5/16/2000,26.0,27.25,25.5,27.25,11375,-1.7616017918022457,-1.273089830250386,0
90,5/18/2000,26.25,26.5,25.75,26.5,9285,-1.7633352870217287,-1.3711389216046546,0
91,5/19/2000,26.5,26.5,25.75,25.75,12945,-1.8044275093501412,-1.457796639153752,0
92,5/22/2000,25.25,25.25,24.0,24.25,17116,-1.9357171136319415,-1.55338073404939,0
93,5/23/2000,24.0,24.0,23.0,23.0,10785,-2.1162349846375434,-1.6659515841670207,0
94,5/24/2000,22.75,23.25,22.0,23.25,8807,-2.2136067071104506,-1.7754826087557067,0
95,5/25/2000,23.75,24.0,22.5,22.75,9365,-2.30455484628882,-1.8812970562623295,0
96,5/26/2000,22.75,23.25,21.0,23.0,14063,-2.3296047576531933,-1.9709585965405023,0
97,5/29/2000,23.25,23.5,22.75,22.75,4088,-2.3426255741619997,-2.045291992064802,0
98,5/30/2000,23.0,23.0,22.5,22.5,1622,-2.346073500781017,-2.1054482938080454,0
99,5/31/2000,23.0,25.25,23.0,24.25,17818,-2.1824378478382975,-2.1208462046140957,0
100,6/1/2000,24.5,25.25,24.0,24.5,11491,-2.0094191699163524,-2.0985607976745473,1
101,6/2/2000,25.25,26.0,25.0,26.0,21760,-1.731305742257664,-2.025109786591171,0
102,6/5/2000,26.75,27.25,26.5,26.5,20474,-1.4537945867728475,-1.9108467466275063,0
103,6/6/2000,26.5,26.5,25.25,25.75,7429,-1.2796329169568494,-1.7846039806933751,0
104,6/7/2000,25.25,25.75,25.25,25.5,5288,-1.148541774884979,-1.657391539531696,0
105,6/8/2000,25.75,26.0,25.5,25.75,2592,-1.012803224545081,-1.5284738765343733,0
106,6/9/2000,25.5,26.0,25.25,25.5,5431,-0.9148564603238505,-1.4057503932922688,0
107,6/12/2000,25.25,25.75,24.75,25.25,2357,-0.8476348477821531,-1.2941272841902456,0
108,6/13/2000,24.75,24.75,24.0,24.0,7469,-0.8850237855596639,-1.2123065844641294,0
109,6/14/2000,24.25,24.25,23.0,24.0,17525,-0.9042313717322479,-1.1506915419177532,0
110,6/15/2000,23.75,25.5,23.25,24.25,31005,-0.8890323993975819,-1.098359713413719,0
111,6/16/2000,24.75,25.0,24.0,24.25,12734,-0.8669929492846933,-1.0520863605879138,0
112,6/19/2000,23.75,24.0,23.5,23.5,6614,-0.8996743721388683,-1.0216039628981046,0
113,6/20/2000,24.0,24.0,23.5,23.5,5297,-0.9150267761170525,-1.0002885255418943,0
114,6/21/2000,23.5,23.5,23.25,23.5,3214,-0.9166273572838151,-0.9835562918902785,0
115,6/22/2000,24.5,24.75,23.25,23.25,20085,-0.9273784980009765,-0.9723207331124181,0
116,6/23/2000,23.25,23.5,23.0,23.25,2471,-0.9252333404659758,-0.9629032545831296,0
117,6/26/2000,23.25,23.25,22.75,22.75,4592,-0.9528947316796845,-0.9609015500024407,0
118,6/27/2000,23.25,23.25,22.75,23.25,2702,-0.9238215227254152,-0.9534855445470357,0
119,6/28/2000,23.25,23.5,23.0,23.5,3461,-0.8705724670179329,-0.9369029290412152,0
120,6/29/2000,23.25,23.25,22.5,22.5,5783,-0.8987041473950583,-0.9292631727119839,0
121,6/30/2000,22.5,22.75,21.75,22.0,12575,-0.9503890348997004,-0.9334883451495273,-1
122,7/3/2000,22.0,22.0,20.5,20.5,12590,-1.0997103680170177,-0.9667327497230255,0
123,7/4/2000,20.5,20.75,19.75,20.25,16128,-1.2241107245275415,-1.0182083446839287,0
124,7/5/2000,20.25,20.5,19.75,20.25,9470,-1.3076254115425954,-1.0760917580556622,0
125,7/6/2000,20.0,20.5,19.75,20.5,6400,-1.3382124123487777,-1.1285158889142854,0
126,7/7/2000,20.25,21.0,20.25,20.5,6430,-1.3469263028681624,-1.1721979717050608,0
127,7/10/2000,21.0,21.25,20.5,20.5,14962,-1.338403837572887,-1.2054391448786261,0
128,7/11/2000,20.75,21.0,20.75,20.75,8268,-1.2965312070700605,-1.223657557316913,0
129,7/12/2000,21.0,21.0,20.25,20.5,5237,-1.2688927506126326,-1.232704595976057,0
130,7/13/2000,20.5,20.5,20.0,20.25,5066,-1.2527213929823091,-1.2367079553773075,0
131,7/14/2000,20.5,20.5,19.25,19.75,16573,-1.2656615385086063,-1.2424986720035673,0
132,7/18/2000,19.5,19.5,19.25,19.5,5813,-1.2813193557897975,-1.2502628087608134,0
133,7/19/2000,19.5,19.5,19.0,19.25,7871,-1.2989279664142082,-1.2599958402914924,0
134,7/20/2000,19.0,19.0,17.5,17.75,30637,-1.417579408169356,-1.291512553867065,0
135,7/21/2000,18.0,18.25,17.5,17.5,14552,-1.514328208311774,-1.336075684756007,0
136,7/24/2000,17.25,17.25,16.25,16.25,18075,-1.6725863484995713,-1.40337781750472,0
137,7/25/2000,16.0,17.0,15.75,16.75,23285,-1.7376309159002759,-1.4702284371838312,0
138,7/26/2000,16.75,16.75,15.5,15.5,28337,-1.868504797300826,-1.5498837092072302,0
139,7/27/2000,15.0,15.75,14.75,15.25,22520,-1.9696908320471138,-1.6338451337752071,0
140,7/28/2000,15.5,15.75,15.25,15.5,12865,-2.0065780007851224,-1.7083917071771904,0
141,7/31/2000,15.25,15.25,14.5,14.75,10472,-2.072440278277462,-1.7812014213972447,0
142,8/1/2000,14.75,16.0,14.5,15.75,22595,-2.0206521449363883,-1.8290915661050735,0
143,8/2/2000,15.75,16.75,15.25,16.5,40299,-1.8972209618921134,-1.8427174452624815,0
144,8/3/2000,16.5,17.75,16.25,17.75,32639,-1.6791797676335811,-1.8100099097367015,1
145,8/4/2000,18.25,18.75,18.0,18.0,46538,-1.4692708004209578,-1.741862087873553,0
146,8/7/2000,18.5,18.5,17.5,17.75,22214,-1.3080114010330526,-1.6550919505054529,0
147,8/8/2000,18.0,19.25,17.75,19.0,31443,-1.0670473542073964,-1.5374830312458416,0
148,8/9/2000,19.5,20.0,19.0,19.0,40562,-0.8660977750225385,-1.4032059800011811,0
149,8/10/2000,19.0,19.5,18.25,18.5,25439,-0.7386746258033767,-1.2702997091616204,0
150,8/11/2000,18.5,18.75,18.25,18.75,15483,-0.6104807097393241,-1.1383359092771612,0
151,8/15/2000,19.0,19.5,19.0,19.25,18432,-0.4632007959029387,-1.0033088866023168,0
152,8/16/2000,19.25,19.75,19.0,19.75,7660,-0.3026458685849356,-0.8631762829988405,0
153,8/17/2000,19.75,20.75,19.5,20.25,38173,-0.13351997546017813,-0.717245021491108,0
154,8/18/2000,20.25,20.25,19.5,19.75,10236,-0.039378378562314964,-0.5816716929053494,0
155,8/21/2000,19.25,19.5,18.75,18.75,8684,-0.04494404049632905,-0.47432616242354536,0
156,8/22/2000,18.75,19.5,18.75,19.25,3746,-0.008906379156922384,-0.3812422057702208,0
157,8/23/2000,19.5,19.5,18.25,18.25,10517,-0.06034232677810891,-0.31706222997179845,0
158,8/24/2000,18.25,18.75,18.25,18.5,10833,-0.0800104643527888,-0.2696518768479965,0
159,8/25/2000,18.5,18.75,18.5,18.5,4861,-0.09450817368506037,-0.2346231362154093,0
160,8/28/2000,18.5,18.75,18.0,18.25,4887,-0.12473278158145007,-0.21264506528861749,0
161,8/29/2000,18.25,19.0,18.25,18.75,4785,-0.10710553384692645,-0.1915371590002793,0
162,8/30/2000,18.75,19.0,18.5,18.5,6243,-0.11201745617632497,-0.17563321843548843,0
163,8/31/2000,18.5,18.5,18.25,18.5,5814,-0.11458927616458325,-0.1634244299813074,0
164,9/1/2000,18.75,18.75,18.5,18.5,7095,-0.11529837414780886,-0.1537992188146077,0
165,9/4/2000,18.75,18.75,18.25,18.25,2528,-0.13448301360307013,-0.1499359777723002,0
166,9/5/2000,18.25,18.5,18.0,18.5,2886,-0.1280381241323667,-0.1455564070443135,0
167,9/6/2000,18.25,18.25,17.5,17.5,6141,-0.20130166515524195,-0.1567054586664992,-1
168,9/7/2000,17.5,17.5,16.25,16.25,17284,-0.35612293900329917,-0.19658895473385923,0
169,9/8/2000,16.25,16.5,16.25,16.25,15469,-0.47336327675886025,-0.25194381913885944,0
170,9/11/2000,16.0,16.0,15.5,16.0,10474,-0.5797668088834911,-0.31750841708778577,0
171,9/12/2000,15.75,16.0,15.75,16.0,8449,-0.6565243704183601,-0.38531160775390066,0
172,9/13/2000,16.25,16.5,16.0,16.0,24215,-0.7091803018725358,-0.45008534657762767,0
173,9/14/2000,16.0,16.0,15.5,15.5,14575,-0.7822391621073166,-0.5165161096835655,0
174,9/15/2000,15.75,16.25,15.75,16.25,11844,-0.7707355436347711,-0.5673599964738067,0
175,9/18/2000,16.0,16.0,15.75,15.75,8348,-0.792825465986656,-0.6124530903763766,0
176,9/19/2000,15.75,16.25,15.75,15.75,5067,-0.8010973371627834,-0.650181939733658,0
177,9/20/2000,16.0,16.0,15.5,15.75,10028,-0.7984488335296902,-0.6798353184928645,0
178,9/21/2000,15.75,16.0,15.75,16.0,4408,-0.7673316431216541,-0.6973345834186224,0
179,9/22/2000,16.0,16.0,15.75,15.75,11958,-0.7541505777806385,-0.7086977822910256,0
180,9/25/2000,16.0,16.5,16.0,16.25,11968,-0.6953431838208033,-0.7060268625969812,1
181,9/26/2000,16.25,17.0,16.25,17.0,18792,-0.5815158160879328,-0.6811246532951716,0
182,9/27/2000,16.75,17.25,16.5,17.0,17287,-0.4857078691053367,-0.6420412964572046,0
183,9/28/2000,17.0,17.0,16.25,16.25,11451,-0.46493859019754424,-0.6066207552052726,0
184,9/29/2000,16.5,16.5,16.0,16.0,5925,-0.463310937603719,-0.5779587916849619,0
185,10/2/2000,16.0,16.5,16.0,16.25,13378,-0.43681279454469646,-0.5497295922569088,0
186,10/3/2000,16.25,16.25,16.0,16.25,15848,-0.4110742175663198,-0.521998517318791,0
187,10/4/2000,16.25,16.75,16.25,16.5,9660,-0.36628103939162315,-0.4908550217333575,0
188,10/5/2000,16.5,17.0,16.25,16.5,10522,-0.3270125261277812,-0.45808652261224225,0
189,10/6/2000,16.25,16.75,16.25,16.75,6842,-0.2725769385150514,-0.4209846057928041,0
190,10/9/2000,16.5,16.75,16.5,16.75,6696,-0.2268216839635997,-0.38215202142696325,0
191,10/10/2000,16.75,17.0,16.5,16.75,5898,-0.18838868756045102,-0.34339935465366084,0
192,10/11/2000,16.75,16.75,16.5,16.5,8018,-0.17607350590487414,-0.3099341849039035,0
193,10/12/2000,16.5,17.0,16.5,17.0,16551,-0.12453228374275938,-0.2728538046716747,0
194,10/13/2000,16.5,17.0,16.25,16.5,22831,-0.12261785288933069,-0.2428066143152059,0
195,10/16/2000,17.0,17.5,16.75,17.0,17069,-0.07983454834161208,-0.21021220112048716,0
196,10/17/2000,17.25,18.0,17.25,17.75,23484,0.014423989960352657,-0.1652849629043192,0
197,10/18/2000,17.75,19.25,17.75,19.25,42446,0.20776701580992452,-0.09067456716147046,0
198,10/19/2000,19.0,19.5,18.5,19.0,49520,0.33693585924408964,-0.005152481880358439,0
199,10/20/2000,19.5,19.5,18.75,18.75,53798,0.41435377521964156,0.07874876953964158,0
200,10/24/2000,19.0,19.0,18.0,18.0,17304,0.4104577974202037,0.14509057511575402,0
201,10/25/2000,18.0,18.25,17.5,17.5,12014,0.3628417715383634,0.1886408144002759,0
202,10/26/2000,17.5,18.25,17.5,18.25,14613,0.3812298792202462,0.22715862736426998,0
203,10/27/2000,18.5,18.5,18.0,18.0,6812,0.37134899630183327,0.25599670115178264,0
204,10/30/2000,18.0,18.25,17.5,17.75,6836,0.33943264647912486,0.2726838902172511,0
205,10/31/2000,17.75,18.25,17.75,18.0,5696,0.33050180093165693,0.28424747236013226,0
206,11/1/2000,18.25,19.0,18.0,19.0,13772,0.39951037720151206,0.30730005332840826,0
