Date,Open,High,Low,Close,Volume,SMA10,EMA10
1/4/2000,45.5,46.0,45.25,45.75,37461,,
1/5/2000,43.5,44.25,43.0,43.5,27363,,
1/6/2000,43.75,43.75,42.25,42.5,11591,,
1/7/2000,43.0,44.0,42.5,43.75,9750,,
1/10/2000,44.5,45.25,43.75,43.75,17305,,
1/11/2000,44.25,44.5,43.0,43.0,10539,,
1/12/2000,42.75,43.75,42.75,43.75,5430,,
1/13/2000,43.5,44.0,43.25,43.5,4684,,
1/14/2000,44.0,44.5,43.75,44.5,8893,,
1/17/2000,45.25,45.75,45.0,45.0,24458,43.9,44.261004702775644
1/18/2000,45.0,46.25,45.0,46.25,18248,43.95,44.62264021136188
1/19/2000,45.5,46.5,45.5,46.5,20148,44.25,44.96397835475063
1/20/2000,46.5,47.0,46.25,46.5,18246,44.65,45.24325501752324
1/21/2000,46.0,46.0,45.0,45.25,15097,44.8,45.24448137797356
1/24/2000,45.25,45.5,44.25,44.75,5300,44.9,45.15457567288745
1/25/2000,44.25,44.25,43.25,44.25,7996,45.025,44.99010736872609
1/26/2000,44.5,44.5,43.5,43.5,12071,45.0,44.719178756230434
1/27/2000,43.75,44.25,43.5,44.25,3250,45.075,44.633873527824896
1/28/2000,44.25,44.5,44.25,44.5,3141,45.075,44.609532886402185
1/31/2000,43.75,44.25,43.5,43.75,5535,44.95,44.4532541797836
2/1/2000,44.25,44.75,43.5,43.5,5826,44.675,44.27993523800476
2/2/2000,44.0,44.0,42.75,43.0,6874,44.325,44.04721974018571
2/3/2000,43.0,43.25,41.75,42.5,11475,43.925,43.76590706015194
2/4/2000,42.5,43.0,42.0,43.0,6648,43.7,43.62665123103341
2/7/2000,42.75,42.75,42.0,42.0,4442,43.425,43.330896461754605
2/8/2000,42.5,42.5,41.0,41.0,10609,43.1,42.90709710507195
2/9/2000,41.25,41.25,39.75,39.75,17379,42.725,42.33307944960432
2/10/2000,39.5,40.0,39.25,39.75,10142,42.275,41.86342864058535
2/11/2000,40.0,40.25,38.0,39.0,17426,41.725,41.342805251388015
2/14/2000,38.5,38.5,37.0,37.25,9949,41.075,40.598658842044735
2/15/2000,37.25,38.5,36.75,37.75,16159,40.5,40.08072087076388
2/16/2000,38.0,38.25,37.0,37.0,18289,39.9,39.52058980335226
2/17/2000,37.0,37.25,35.0,35.75,19427,39.225,38.835028020924575
2/18/2000,35.75,36.0,34.0,35.0,30863,38.425,38.137750198938285
2/22/2000,34.0,34.0,31.5,31.5,39894,37.375,36.93088652640405
2/23/2000,31.5,33.5,31.0,33.25,18530,36.6,36.26163443069422
2/24/2000,33.5,34.25,33.25,33.5,17593,35.975,35.75951907965891
2/25/2000,33.5,33.5,32.25,33.25,12470,35.325,35.303242883357285
2/28/2000,32.5,32.5,31.25,31.5,14812,34.575,34.61174417729232
2/29/2000,31.75,32.25,29.5,29.5,21454,33.8,33.682336145057356
3/1/2000,30.0,30.5,28.0,28.25,34442,32.85,32.694638664137834
3/2/2000,28.25,31.0,28.25,30.75,29043,32.225,32.341067997930956
3/3/2000,31.5,31.5,29.0,29.5,20966,31.6,31.824510180125326
3/6/2000,28.25,28.75,27.5,28.25,10231,30.925,31.174599238284355
3/7/2000,28.0,29.25,27.75,29.0,4951,30.675,30.77921755859629
3/8/2000,28.25,29.5,28.25,29.25,7046,30.275,30.50117800248787
3/9/2000,29.75,30.75,29.25,30.0,8482,29.925,30.410054729308257
3/10/2000,30.5,31.5,30.0,31.25,15802,29.725,30.56277205125221
3/13/2000,31.25,31.25,29.75,30.25,4026,29.6,30.50590440556999
3/14/2000,30.0,31.75,30.0,31.75,6601,29.825,30.732103604557263
3/15/2000,31.75,32.5,30.5,30.5,10882,30.05,30.689902949183214
3/16/2000,31.0,32.0,31.0,32.0,7678,30.175,30.92810241296808
3/17/2000,33.0,33.25,32.0,32.0,7416,30.425,31.122992883337517
3/20/2000,32.5,32.5,31.75,31.75,2287,30.775,31.23699417727615
3/21/2000,32.0,32.75,31.75,32.0,3339,31.075,31.375722508680482
3/22/2000,32.25,32.25,30.75,31.0,5142,31.25,31.30740932528403
3/23/2000,31.0,31.75,31.0,31.5,1587,31.4,31.342425811596023
3/24/2000,31.75,33.0,31.75,32.75,5485,31.55,31.598348391305834
3/27/2000,33.0,33.5,32.75,32.75,7028,31.8,31.80773959288659
3/28/2000,33.0,33.75,33.0,33.0,8822,31.925,32.02451421236175
3/29/2000,34.0,34.25,33.25,33.75,8892,32.25,32.338238901023246
3/30/2000,33.75,34.0,31.75,32.25,7248,32.275,32.322195464473566
3/31/2000,32.0,32.5,31.75,32.25,3534,32.3,32.30906901638746
4/3/2000,32.25,32.75,32.25,32.5,1715,32.375,32.34378374068065
4/4/2000,32.25,32.25,31.5,32.0,2586,32.375,32.281277606011436
4/5/2000,32.25,32.75,32.25,32.5,2090,32.525,32.32104531400935
4/7/2000,33.0,33.25,32.75,33.0,3485,32.675,32.44449162055311
4/10/2000,33.5,33.5,32.75,33.5,3287,32.75,32.636402234997995
4/11/2000,33.0,33.0,32.5,33.0,1506,32.775,32.70251091954381
4/12/2000,32.75,34.25,32.75,34.25,6367,32.9,32.983872570535844
4/17/2000,32.0,33.25,31.75,33.0,6975,32.825,32.986804830438416
4/18/2000,33.5,34.0,33.0,33.0,6089,32.9,32.98920395217688
4/19/2000,33.25,33.75,33.0,33.0,3651,32.975,32.991166869962896
4/20/2000,33.5,33.75,33.5,33.5,2315,33.075,33.083681984515096
4/21/2000,33.75,34.0,33.0,33.5,6352,33.225,33.159376169148715
4/24/2000,33.5,33.5,32.75,33.0,13507,33.275,33.130398683848945
4/25/2000,33.0,33.25,32.75,33.0,7149,33.275,33.10668983224004
4/26/2000,33.0,33.0,32.0,32.25,6155,33.15,32.95092804456004
4/27/2000,32.25,32.75,32.25,32.75,7324,33.125,32.91439567282185
4/28/2000,32.5,32.5,31.75,31.75,8298,32.875,32.702687368672414
5/2/2000,31.75,32.0,30.5,30.5,9096,32.625,32.30219875618652
5/3/2000,30.5,30.5,29.5,29.5,12257,32.275,31.792708073243514
5/4/2000,29.5,30.0,29.25,29.5,6901,31.925,31.37585205992651
5/8/2000,29.5,29.5,28.5,28.75,7154,31.45,30.89842441266714
5/9/2000,28.5,28.75,28.0,28.0,10945,30.9,30.371438155818566
5/10/2000,28.0,28.0,26.25,26.75,21968,30.275,29.712994854760645
5/11/2000,26.25,26.5,25.5,25.5,18838,29.525,28.946995790258708
5/12/2000,26.0,26.5,25.75,26.0,15530,28.9,28.41117837384803
5/15/2000,26.0,26.0,25.0,25.5,6717,28.175,27.88187321496657
5/16/2000,26.0,27.25,25.5,27.25,11375,27.725,27.766987175881738
5/18/2000,26.25,26.5,25.75,26.5,9285,27.325,27.536625871175964
5/19/2000,26.5,26.5,25.75,25.75,12945,26.95,27.211784803689426
5/22/2000,25.25,25.25,24.0,24.25,17116,26.425,26.673278475745892
5/23/2000,24.0,24.0,23.0,23.0,10785,25.85,26.005409661973907
5/24/2000,22.75,23.25,22.0,23.25,8807,25.375,25.504426087069557
5/25/2000,23.75,24.0,22.5,22.75,9365,24.975,25.003621343966
5/26/2000,22.75,23.25,21.0,23.0,14063,24.725,24.639326554153996
5/29/2000,23.25,23.5,22.75,22.75,4088,24.4,24.295812635216905
5/30/2000,23.0,23.0,22.5,22.5,1622,24.1,23.969301246995645
