,Date,Open,High,Low,Close,Volume,UB,MB,LB,Signal
0,1/4/2000,45.5,46.0,45.25,45.75,37461,,,,-1
1,1/5/2000,43.5,44.25,43.0,43.5,27363,,,,-1
2,1/6/2000,43.75,43.75,42.25,42.5,11591,,,,-1
3,1/7/2000,43.0,44.0,42.5,43.75,9750,,,,-1
4,1/10/2000,44.5,45.25,43.75,43.75,17305,,,,-1
5,1/11/2000,44.25,44.5,43.0,43.0,10539,,,,-1
6,1/12/2000,42.75,43.75,42.75,43.75,5430,,,,-1
7,1/13/2000,43.5,44.0,43.25,43.5,4684,,,,-1
8,1/14/2000,44.0,44.5,43.75,44.5,8893,,,,-1
9,1/17/2000,45.25,45.75,45.0,45.0,24458,,,,-1
10,1/18/2000,45.0,46.25,45.0,46.25,18248,,,,-1
11,1/19/2000,45.5,46.5,45.5,46.5,20148,,,,-1
12,1/20/2000,46.5,47.0,46.25,46.5,18246,,,,-1
13,1/21/2000,46.0,46.0,45.0,45.25,15097,,,,-1
14,1/24/2000,45.25,45.5,44.25,44.75,5300,,,,-1
15,1/25/2000,44.25,44.25,43.25,44.25,7996,,,,-1
16,1/26/2000,44.5,44.5,43.5,43.5,12071,,,,-1
17,1/27/2000,43.75,44.25,43.5,44.25,3250,,,,-1
18,1/28/2000,44.25,44.5,44.25,44.5,3141,,,,-1
19,1/31/2000,43.75,44.25,43.5,43.75,5535,46.719730806365796,44.425,42.1302691936342,-1
20,2/1/2000,44.25,44.75,43.5,43.5,5826,46.55371090390652,44.3125,42.07128909609348,-1
21,2/2/2000,44.0,44.0,42.75,43.0,6874,46.57749540335094,44.2875,41.997504596649065,-1
22,2/3/2000,43.0,43.25,41.75,42.5,11475,46.57749540335094,44.2875,41.997504596649065,-1
23,2/4/2000,42.5,43.0,42.0,43.0,6648,46.60081172990814,44.25,41.89918827009186,-1
24,2/7/2000,42.75,42.75,42.0,42.0,4442,46.713428623483075,44.1625,41.61157137651693,-1
25,2/8/2000,42.5,42.5,41.0,41.0,10609,46.941073294277274,44.0625,41.183926705722726,-1
26,2/9/2000,41.25,41.25,39.75,39.75,17379,47.32840536512467,43.8625,40.39659463487533,-1
27,2/10/2000,39.5,40.0,39.25,39.75,10142,47.59894806553968,43.675,39.751051934460314,-1
28,2/11/2000,40.0,40.25,38.0,39.0,17426,47.82005001162466,43.4,38.97994998837534,1
29,2/14/2000,38.5,38.5,37.0,37.25,9949,48.14360996507425,43.0125,37.88139003492576,1
30,2/15/2000,37.25,38.5,36.75,37.75,16159,47.99041100874529,42.5875,37.18458899125471,1
31,2/16/2000,38.0,38.25,37.0,37.0,18289,47.733126955102165,42.1125,36.49187304489783,1
32,2/17/2000,37.0,37.25,35.0,35.75,19427,47.47794306614127,41.575,35.672056933858734,1
33,2/18/2000,35.75,36.0,34.0,35.0,30863,47.38679525926137,41.0625,34.73820474073863,1
34,2/22/2000,34.0,34.0,31.5,31.5,39894,47.78490637078516,40.4,33.01509362921484,1
35,2/23/2000,31.5,33.5,31.0,33.25,18530,47.65418241444258,39.85,32.04581758555742,1
36,2/24/2000,33.5,34.25,33.25,33.5,17593,47.445482821009705,39.35,31.254517178990294,1
37,2/25/2000,33.5,33.5,32.25,33.25,12470,46.98792435621861,38.8,30.61207564378138,1
38,2/28/2000,32.5,32.5,31.25,31.5,14812,46.49518455536833,38.15,29.804815444631664,1
39,2/29/2000,31.75,32.25,29.5,29.5,21454,46.19276157594153,37.4375,28.68223842405847,1
40,3/1/2000,30.0,30.5,28.0,28.25,34442,45.85320645247266,36.675,27.496793547527332,1
41,3/2/2000,28.25,31.0,28.25,30.75,29043,45.09733754550599,36.0625,27.027662454494013,1
42,3/3/2000,31.5,31.5,29.0,29.5,20966,44.36746774803916,35.4125,26.457532251960842,1
43,3/6/2000,28.25,28.75,27.5,28.25,10231,43.426090157652865,34.675,25.92390984234713,1
44,3/7/2000,28.0,29.25,27.75,29.0,4951,42.408724834777416,34.025,25.64127516522258,1
45,3/8/2000,28.25,29.5,28.25,29.25,7046,41.399374613960056,33.4375,25.475625386039948,1
46,3/9/2000,29.75,30.75,29.25,30.0,8482,40.46594795645972,32.95,25.434052043540284,1
47,3/10/2000,30.5,31.5,30.0,31.25,15802,39.35161201321328,32.525,25.69838798678672,1
48,3/13/2000,31.25,31.25,29.75,30.25,4026,38.25676806201945,32.0875,25.918231937980554,1
49,3/14/2000,30.0,31.75,30.0,31.75,6601,37.48300308730702,31.8125,26.14199691269298,1
50,3/15/2000,31.75,32.5,30.5,30.5,10882,36.40399891634611,31.45,26.496001083653887,1
51,3/16/2000,31.0,32.0,31.0,32.0,7678,35.42586023631197,31.2,26.97413976368803,1
52,3/17/2000,33.0,33.25,32.0,32.0,7416,34.684854042099815,31.0125,27.34014595790018,1
53,3/20/2000,32.5,32.5,31.75,31.75,2287,34.034667213879416,30.85,27.66533278612059,1
54,3/21/2000,32.0,32.75,31.75,32.0,3339,34.08886797619653,30.875,27.661132023803464,1
55,3/22/2000,32.25,32.25,30.75,31.0,5142,33.77770270768345,30.7625,27.74729729231655,1
56,3/23/2000,31.0,31.75,31.0,31.5,1587,33.416802853813806,30.6625,27.908197146186197,1
57,3/24/2000,31.75,33.0,31.75,32.75,5485,33.30047716257981,30.6375,27.97452283742019,1
58,3/27/2000,33.0,33.5,32.75,32.75,7028,33.50319366738059,30.7,27.896806332619406,1
59,3/28/2000,33.0,33.75,33.0,33.0,8822,33.79723778707536,30.875,27.952762212924643,1
60,3/29/2000,34.0,34.25,33.25,33.75,8892,34.06728063713281,31.15,28.232719362867186,1
61,3/30/2000,33.75,34.0,31.75,32.25,7248,34.17591422051585,31.225,28.274085779484153,1
62,3/31/2000,32.0,32.5,31.75,32.25,3534,34.23008196322094,31.3625,28.494918036779065,1
63,4/3/2000,32.25,32.75,32.25,32.5,1715,34.07815590279247,31.575,29.07184409720753,1
64,4/4/2000,32.25,32.25,31.5,32.0,2586,33.918891039850756,31.725,29.531108960149247,1
65,4/5/2000,32.25,32.75,32.25,32.5,2090,33.76867404550304,31.8875,30.006325954496962,1
66,4/7/2000,33.0,33.25,32.75,33.0,3485,33.75639652485497,32.0375,30.318603475145032,1
67,4/10/2000,33.5,33.5,32.75,33.5,3287,33.94472912484852,32.15,30.355270875151476,1
68,4/11/2000,33.0,33.0,32.5,33.0,1506,33.879213740463264,32.2875,30.69578625953674,1
69,4/12/2000,32.75,34.25,32.75,34.25,6367,34.20631246452781,32.4125,30.61868753547219,1
70,4/17/2000,32.0,33.25,31.75,33.0,6975,34.104217990947475,32.5375,30.970782009052527,-1
71,4/18/2000,33.5,34.0,33.0,33.0,6089,34.145796978654836,32.5875,31.029203021345158,-1
72,4/19/2000,33.25,33.75,33.0,33.0,3651,34.18052334805154,32.6375,31.094476651948465,-1
73,4/20/2000,33.5,33.75,33.5,33.5,2315,34.25453381270606,32.725,31.195466187293945,-1
74,4/21/2000,33.75,34.0,33.0,33.5,6352,34.3269508660625,32.8,31.273049133937498,-1
75,4/24/2000,33.5,33.5,32.75,33.0,13507,34.171137079029954,32.9,31.628862920970043,-1
76,4/25/2000,33.0,33.25,32.75,33.0,7149,34.06200457559709,32.975,31.887995424402906,-1
77,4/26/2000,33.0,33.0,32.0,32.25,6155,34.08090555238785,32.95,31.81909444761216,-1
78,4/27/2000,32.25,32.75,32.25,32.75,7324,34.08090555238785,32.95,31.81909444761216,-1
