,Date,Open,High,Low,Close,Volume,RSI,Signal
0,1/4/2000,45.5,46.0,45.25,45.75,37461,,-1
1,1/5/2000,43.5,44.25,43.0,43.5,27363,,-1
2,1/6/2000,43.75,43.75,42.25,42.5,11591,,-1
3,1/7/2000,43.0,44.0,42.5,43.75,9750,,-1
4,1/10/2000,44.5,45.25,43.75,43.75,17305,,-1
5,1/11/2000,44.25,44.5,43.0,43.0,10539,,-1
6,1/12/2000,42.75,43.75,42.75,43.75,5430,,-1
7,1/13/2000,43.5,44.0,43.25,43.5,4684,,-1
8,1/14/2000,44.0,44.5,43.75,44.5,8893,,-1
9,1/17/2000,45.25,45.75,45.0,45.0,24458,,-1
10,1/18/2000,45.0,46.25,45.0,46.25,18248,,-1
11,1/19/2000,45.5,46.5,45.5,46.5,20148,,-1
12,1/20/2000,46.5,47.0,46.25,46.5,18246,,-1
13,1/21/2000,46.0,46.0,45.0,45.25,15097,,-1
14,1/24/2000,45.25,45.5,44.25,44.75,5300,45.45454545454546,-1
15,1/25/2000,44.25,44.25,43.25,44.25,7996,43.33333333333333,-1
16,1/26/2000,44.5,44.5,43.5,43.5,12071,40.29566046733429,-1
17,1/27/2000,43.75,44.25,43.5,44.25,3250,44.486510453971825,-1
18,1/28/2000,44.25,44.5,44.25,44.5,3141,45.850938321335065,-1
19,1/31/2000,43.75,44.25,43.5,43.75,5535,42.47790176816858,-1
20,2/1/2000,44.25,44.75,43.5,43.5,5826,41.38500470872695,-1
21,2/2/2000,44.0,44.0,42.75,43.0,6874,39.21205116799008,-1
22,2/3/2000,43.0,43.25,41.75,42.5,11475,37.11347957926718,-1
23,2/4/2000,42.5,43.0,42.0,43.0,6648,40.54045129644115,-1
24,2/7/2000,42.75,42.75,42.0,42.0,4442,36.28193709527809,-1
25,2/8/2000,42.5,42.5,41.0,41.0,10609,32.59469902287951,-1
26,2/9/2000,41.25,41.25,39.75,39.75,17379,28.672171532423036,-1
27,2/10/2000,39.5,40.0,39.25,39.75,10142,28.672171532423036,-1
28,2/11/2000,40.0,40.25,38.0,39.0,17426,26.456656991736992,-1
29,2/14/2000,38.5,38.5,37.0,37.25,9949,22.154904909934373,-1
30,2/15/2000,37.25,38.5,36.75,37.75,16159,25.863904287996206,-1
31,2/16/2000,38.0,38.25,37.0,37.0,18289,24.015515352666313,-1
32,2/17/2000,37.0,37.25,35.0,35.75,19427,21.2852131903783,-1
33,2/18/2000,35.75,36.0,34.0,35.0,30863,19.828592033837694,-1
34,2/22/2000,34.0,34.0,31.5,31.5,39894,14.754271959671371,-1
35,2/23/2000,31.5,33.5,31.0,33.25,18530,25.07828152712996,-1
36,2/24/2000,33.5,34.25,33.25,33.5,17593,26.448698657103733,-1
37,2/25/2000,33.5,33.5,32.25,33.25,12470,25.93776757200814,-1
38,2/28/2000,32.5,32.5,31.25,31.5,14812,22.640681822079003,-1
39,2/29/2000,31.75,32.25,29.5,29.5,21454,19.577751665158388,-1
40,3/1/2000,30.0,30.5,28.0,28.25,34442,17.94384307643847,-1
41,3/2/2000,28.25,31.0,28.25,30.75,29043,30.446409569972474,1
42,3/3/2000,31.5,31.5,29.0,29.5,20966,28.137886784263742,1
43,3/6/2000,28.25,28.75,27.5,28.25,10231,26.013735322145592,1
44,3/7/2000,28.0,29.25,27.75,29.0,4951,29.454834526264108,1
45,3/8/2000,28.25,29.5,28.25,29.25,7046,30.613306974547854,1
46,3/9/2000,29.75,30.75,29.25,30.0,8482,34.1091314860561,1
47,3/10/2000,30.5,31.5,30.0,31.25,15802,39.57343453397213,1
48,3/13/2000,31.25,31.25,29.75,30.25,4026,36.93456905651707,1
49,3/14/2000,30.0,31.75,30.0,31.75,6601,43.067265822695624,1
50,3/15/2000,31.75,32.5,30.5,30.5,10882,39.61047125898836,1
51,3/16/2000,31.0,32.0,31.0,32.0,7678,45.285814556892205,1
52,3/17/2000,33.0,33.25,32.0,32.0,7416,45.2858145568922,1
53,3/20/2000,32.5,32.5,31.75,31.75,2287,44.47784983808227,1
54,3/21/2000,32.0,32.75,31.75,32.0,3339,45.524534468030645,1
55,3/22/2000,32.25,32.25,30.75,31.0,5142,42.105284501431946,1
56,3/23/2000,31.0,31.75,31.0,31.5,1587,44.355690033838954,1
57,3/24/2000,31.75,33.0,31.75,32.75,5485,49.62728367437116,1
58,3/27/2000,33.0,33.5,32.75,32.75,7028,49.62728367437115,1
59,3/28/2000,33.0,33.75,33.0,33.0,8822,50.71040175320576,1
60,3/29/2000,34.0,34.25,33.25,33.75,8892,53.912051017150084,1
61,3/30/2000,33.75,34.0,31.75,32.25,7248,47.29521517545427,1
62,3/31/2000,32.0,32.5,31.75,32.25,3534,47.29521517545426,1
63,4/3/2000,32.25,32.75,32.25,32.5,1715,48.516592645644046,1
64,4/4/2000,32.25,32.25,31.5,32.0,2586,46.2101031703964,1
65,4/5/2000,32.25,32.75,32.25,32.5,2090,48.82986856232029,1
66,4/7/2000,33.0,33.25,32.75,33.0,3485,51.37999309299742,1
67,4/10/2000,33.5,33.5,32.75,33.5,3287,53.85650286304795,1
68,4/11/2000,33.0,33.0,32.5,33.0,1506,51.05587480952692,1
69,4/12/2000,32.75,34.25,32.75,34.25,6367,57.06672611181864,1
70,4/17/2000,32.0,33.25,31.75,33.0,6975,50.40084023625118,1
71,4/18/2000,33.5,34.0,33.0,33.0,6089,50.40084023625118,1
72,4/19/2000,33.25,33.75,33.0,33.0,3651,50.40084023625118,1
73,4/20/2000,33.5,33.75,33.5,33.5,2315,53.135676378979625,1
74,4/21/2000,33.75,34.0,33.0,33.5,6352,53.135676378979625,1
75,4/24/2000,33.5,33.5,32.75,33.0,13507,49.94199044613266,1
76,4/25/2000,33.0,33.25,32.75,33.0,7149,49.94199044613266,1
77,4/26/2000,33.0,33.0,32.0,32.25,6155,45.2143650757187,1
78,4/27/2000,32.25,32.75,32.25,32.75,7324,48.70079745001752,1
79,4/28/2000,32.5,32.5,31.75,31.75,8298,42.83023535087462,1
80,5/2/2000,31.75,32.0,30.5,30.5,9096,36.850503180772726,1
81,5/3/2000,30.5,30.5,29.5,29.5,12257,32.89390964424935,1
82,5/4/2000,29.5,30.0,29.25,29.5,6901,32.89390964424935,1
83,5/8/2000,29.5,29.5,28.5,28.75,7154,30.084284789233166,1
84,5/9/2000,28.5,28.75,28.0,28.0,10945,27.55008704624248,1
85,5/10/2000,28.0,28.0,26.25,26.75,21968,23.931752314265168,1
86,5/11/2000,26.25,26.5,25.5,25.5,18838,20.966292224191108,1
87,5/12/2000,26.0,26.5,25.75,26.0,15530,24.971180212083382,1
88,5/15/2000,26.0,26.0,25.0,25.5,6717,23.67899161543393,1
89,5/16/2000,26.0,27.25,25.5,27.25,11375,36.13556611547708,1
90,5/18/2000,26.25,26.5,25.75,26.5,9285,33.60419443620985,1
91,5/19/2000,26.5,26.5,25.75,25.75,12945,31.246905835778577,1
92,5/22/2000,25.25,25.25,24.0,24.25,17116,27.145507822260086,1
93,5/23/2000,24.0,24.0,23.0,23.0,10785,24.284862681321485,1
94,5/24/2000,22.75,23.25,22.0,23.25,8807,25.965276161238208,1
95,5/25/2000,23.75,24.0,22.5,22.75,9365,24.78070337640908,1
96,5/26/2000,22.75,23.25,21.0,23.0,14063,26.58419065482485,1
97,5/29/2000,23.25,23.5,22.75,22.75,4088,25.915045294837626,1
98,5/30/2000,23.0,23.0,22.5,22.5,1622,25.231105320582714,1
