Date,Open,High,Low,Close,Volume
1/2/2013,11.5,11.5,11.3,11.3,194740
1/3/2013,11.35,11.45,11.35,11.45,250010
1/4/2013,11.45,11.5,11.35,11.5,227930
1/7/2013,11.55,11.6,11.4,11.4,279090
1/8/2013,11.4,11.55,11.4,11.5,150060
1/9/2013,11.55,11.55,11.4,11.45,85630
1/10/2013,11.5,11.55,11.3,11.3,266270
1/11/2013,11.3,11.35,11.15,11.25,382120
1/14/2013,11.3,11.3,11.2,11.2,215720
1/15/2013,11.25,11.35,11.2,11.25,241260
1/16/2013,11.3,11.4,11.25,11.3,276400
1/17/2013,11.45,12.45,11.4,12.45,2178420
1/18/2013,12.35,12.35,12.05,12.1,414330
1/21/2013,12.2,12.4,12.1,12.2,285320
1/22/2013,12.25,12.35,12.15,12.2,237720
1/23/2013,12.3,12.85,12.2,12.85,707050
1/24/2013,12.85,13.05,12.6,12.9,578390
1/25/2013,12.95,13.05,12.8,12.9,241790
1/28/2013,13,13.1,12.8,13,498000
1/29/2013,12.95,13.35,12.95,13.1,516770
1/30/2013,13.2,13.35,13.15,13.3,504490
1/31/2013,13.3,13.3,13.05,13.3,327880
2/1/2013,13.25,13.45,13.25,13.35,239330
2/4/2013,13.3,13.35,13.15,13.15,281520
2/5/2013,13.15,13.65,13.15,13.65,384980
2/6/2013,13.8,14.25,13.8,14.1,559470
2/7/2013,14.05,14.35,13.95,14.25,352590
2/8/2013,14.3,14.45,14.2,14.35,371550
2/11/2013,14.4,14.65,14.35,14.6,399510
2/12/2013,14.5,14.75,14.5,14.65,222900
2/13/2013,14.75,14.9,14.6,14.6,265960
2/14/2013,14.7,15.35,14.65,15.35,523390
2/15/2013,15.3,15.3,14.95,14.95,494100
2/18/2013,15.05,15.1,14.95,15.05,271140
2/19/2013,15.1,15.15,14.9,14.95,239910
2/20/2013,14.95,15.05,14.6,14.7,455380
2/21/2013,14.65,14.7,14.4,14.4,364600
2/22/2013,14.4,14.85,14.4,14.7,349650
2/26/2013,15,15,14.6,14.8,427490
2/27/2013,14.7,14.8,14.55,14.55,247880
2/28/2013,14.7,14.9,14.5,14.9,384940
3/1/2013,14.8,14.9,14.7,14.7,205170
3/4/2013,14.7,14.85,14.6,14.8,201540
3/5/2013,14.85,15,14.75,15,315500
3/6/2013,15.1,15.2,15,15.2,356710
3/7/2013,15.15,15.45,15.1,15.25,562070
3/8/2013,15.5,15.7,15.45,15.6,544330
3/11/2013,15.6,15.7,15.4,15.45,222520
3/12/2013,15.45,15.85,15.45,15.75,365570
3/13/2013,15.75,16.4,15.75,16.4,542580
3/14/2013,16.4,17.1,16.25,17.1,626940
3/15/2013,17.1,17.25,16.7,16.7,445430
3/18/2013,16.65,16.65,16.45,16.55,305710
3/19/2013,16.5,16.95,16.25,16.5,290040
3/20/2013,16.4,16.55,15.9,16.15,362270
3/21/2013,16.15,16.3,16,16.25,199040
3/22/2013,16,16.05,14.75,15.65,1016250
3/25/2013,15.75,16.05,15.7,16,286310
3/26/2013,15.95,16.35,15.9,16.35,283820
3/27/2013,16.5,16.65,16.35,16.4,244360
3/28/2013,16.4,16.45,16.05,16.35,204740
3/29/2013,16.45,16.7,16.35,16.45,228650
4/1/2013,16.45,16.45,16.1,16.15,159860
4/2/2013,16.1,16.35,16.1,16.3,135230
4/3/2013,16.3,16.4,16.1,16.15,160390
4/4/2013,15.7,16.3,15.7,16.3,306350
4/5/2013,16.05,16.15,15.8,15.8,260900
4/9/2013,15.7,15.8,15.2,15.4,202360
4/10/2013,15.35,16,15.3,16,255950
4/11/2013,16.15,16.15,15.9,16.05,186170
4/12/2013,16.05,16.5,16,16.4,194530
4/17/2013,16.3,16.4,16,16.1,270450
4/18/2013,16.05,16.1,15.95,16,136070
4/19/2013,16,16.15,15.85,15.85,327110
4/22/2013,16,16.3,16,16.3,137780
4/23/2013,16.3,16.6,16.25,16.4,227490
4/24/2013,16.55,16.8,16.45,16.75,372680
4/25/2013,16.8,17.15,16.75,16.95,433310
4/26/2013,17.1,17.2,16.8,16.85,146230
4/29/2013,17,17,16.65,16.85,130440
4/30/2013,16.95,16.95,16.75,16.9,89140
