,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
0,1/2/2013,11.5,11.5,11.3,11.3,194740,-1,,,,,
1,1/3/2013,11.35,11.45,11.35,11.45,250010,-1,,,,,
2,1/4/2013,11.45,11.5,11.35,11.5,227930,-1,,,,,
3,1/7/2013,11.55,11.6,11.4,11.4,279090,-1,,,,,
4,1/8/2013,11.4,11.55,11.4,11.5,150060,-1,,,,,
5,1/9/2013,11.55,11.55,11.4,11.45,85630,-1,,,,,
6,1/10/2013,11.5,11.55,11.3,11.3,266270,-1,,,,,
7,1/11/2013,11.3,11.35,11.15,11.25,382120,-1,,,,,
8,1/14/2013,11.3,11.3,11.2,11.2,215720,-1,,,,,
9,1/15/2013,11.25,11.35,11.2,11.25,241260,1,,,,,
10,1/16/2013,11.3,11.4,11.25,11.3,276400,1,8800.0,-99609.04800000001,,,
11,1/17/2013,11.45,12.45,11.4,12.45,2178420,1,,,,,
12,1/18/2013,12.35,12.35,12.05,12.1,414330,1,,,,,
13,1/21/2013,12.2,12.4,12.1,12.2,285320,1,,,,,
14,1/22/2013,12.25,12.35,12.15,12.2,237720,1,,,,,
15,1/23/2013,12.3,12.85,12.2,12.85,707050,1,,,,,
16,1/24/2013,12.85,13.05,12.6,12.9,578390,1,,,,,
17,1/25/2013,12.95,13.05,12.8,12.9,241790,1,,,,,
18,1/28/2013,13.0,13.1,12.8,13.0,498000,-1,,,,,
19,1/29/2013,12.95,13.35,12.95,13.1,516770,-1,,,-8800.0,113766.268,14157.219999999987
20,1/30/2013,13.2,13.35,13.15,13.3,504490,1,,,,,
21,1/31/2013,13.3,13.3,13.05,13.3,327880,1,7500.0,-99919.575,,,
22,2/1/2013,13.25,13.45,13.25,13.35,239330,1,,,,,
23,2/4/2013,13.3,13.35,13.15,13.15,281520,-1,,,,,
24,2/5/2013,13.15,13.65,13.15,13.65,384980,-1,,,-7500.0,98457.3375,-1462.237500000003
25,2/6/2013,13.8,14.25,13.8,14.1,559470,1,,,,,
26,2/7/2013,14.05,14.35,13.95,14.25,352590,1,7100.0,-99924.58350000001,,,
27,2/8/2013,14.3,14.45,14.2,14.35,371550,1,,,,,
28,2/11/2013,14.4,14.65,14.35,14.6,399510,1,,,,,
29,2/12/2013,14.5,14.75,14.5,14.65,222900,1,,,,,
30,2/13/2013,14.75,14.9,14.6,14.6,265960,-1,,,,,
31,2/14/2013,14.7,15.35,14.65,15.35,523390,-1,,,-7100.0,104192.571,4267.987499999988
32,2/15/2013,15.3,15.3,14.95,14.95,494100,-1,,,,,
33,2/18/2013,15.05,15.1,14.95,15.05,271140,-1,,,,,
34,2/19/2013,15.1,15.15,14.9,14.95,239910,-1,,,,,
35,2/20/2013,14.95,15.05,14.6,14.7,455380,-1,,,,,
36,2/21/2013,14.65,14.7,14.4,14.4,364600,-1,,,,,
37,2/22/2013,14.4,14.85,14.4,14.7,349650,-1,,,,,
38,2/26/2013,15.0,15.0,14.6,14.8,427490,1,,,,,
39,2/27/2013,14.7,14.8,14.55,14.55,247880,1,6700.0,-98657.433,,,
40,2/28/2013,14.7,14.9,14.5,14.9,384940,1,,,,,
41,3/1/2013,14.8,14.9,14.7,14.7,205170,1,,,,,
42,3/4/2013,14.7,14.85,14.6,14.8,201540,1,,,,,
43,3/5/2013,14.85,15.0,14.75,15.0,315500,1,,,,,
44,3/6/2013,15.1,15.2,15.0,15.2,356710,1,,,,,
45,3/7/2013,15.15,15.45,15.1,15.25,562070,1,,,,,
46,3/8/2013,15.5,15.7,15.45,15.6,544330,-1,,,,,
47,3/11/2013,15.6,15.7,15.4,15.45,222520,-1,,,-6700.0,104342.31599999999,5684.882999999987
48,3/12/2013,15.45,15.85,15.45,15.75,365570,-1,,,,,
49,3/13/2013,15.75,16.4,15.75,16.4,542580,1,,,,,
50,3/14/2013,16.4,17.1,16.25,17.1,626940,1,6000.0,-98567.27999999998,,,
51,3/15/2013,17.1,17.25,16.7,16.7,445430,-1,,,,,
52,3/18/2013,16.65,16.65,16.45,16.55,305710,-1,,,-6000.0,99730.16999999998,1162.8899999999994
53,3/19/2013,16.5,16.95,16.25,16.5,290040,-1,,,,,
54,3/20/2013,16.4,16.55,15.9,16.15,362270,-1,,,,,
55,3/21/2013,16.15,16.3,16.0,16.25,199040,-1,,,,,
56,3/22/2013,16.0,16.05,14.75,15.65,1016250,-1,,,,,
57,3/25/2013,15.75,16.05,15.7,16.0,286310,1,,,,,
58,3/26/2013,15.95,16.35,15.9,16.35,283820,1,6200.0,-99058.113,,,
59,3/27/2013,16.5,16.65,16.35,16.4,244360,1,,,,,
60,3/28/2013,16.4,16.45,16.05,16.35,204740,1,,,,,
61,3/29/2013,16.45,16.7,16.35,16.45,228650,-1,,,,,
62,4/1/2013,16.45,16.45,16.1,16.15,159860,-1,,,-6200.0,101816.617,2758.504000000001
63,4/2/2013,16.1,16.35,16.1,16.3,135230,-1,,,,,
64,4/3/2013,16.3,16.4,16.1,16.15,160390,-1,,,,,
65,4/4/2013,15.7,16.3,15.7,16.3,306350,-1,,,,,
66,4/5/2013,16.05,16.15,15.8,15.8,260900,-1,,,,,
67,4/9/2013,15.7,15.8,15.2,15.4,202360,-1,,,,,
68,4/10/2013,15.35,16.0,15.3,16.0,255950,1,,,,,
69,4/11/2013,16.15,16.15,15.9,16.05,186170,1,6100.0,-98682.47549999999,,,
70,4/12/2013,16.05,16.5,16.0,16.4,194530,1,,,,,
71,4/17/2013,16.3,16.4,16.0,16.1,270450,1,,,,,
72,4/18/2013,16.05,16.1,15.95,16.0,136070,-1,,,,,
73,4/19/2013,16.0,16.15,15.85,15.85,327110,-1,,,-6100.0,97434.08,-1248.3954999999842
74,4/22/2013,16.0,16.3,16.0,16.3,137780,-1,,,,,
75,4/23/2013,16.3,16.6,16.25,16.4,227490,1,,,,,
76,4/24/2013,16.55,16.8,16.45,16.75,372680,1,6000.0,-99468.81,,,
77,4/25/2013,16.8,17.15,16.75,16.95,433310,1,,,,,
78,4/26/2013,17.1,17.2,16.8,16.85,146230,1,,,,,
79,4/29/2013,17.0,17.0,16.65,16.85,130440,-1,,,,,
80,4/30/2013,16.95,16.95,16.75,16.9,89140,-1,,,-6000.0,101527.11,2058.300000000003
81,5/2/2013,16.85,16.95,16.55,16.7,170990,-1,,,,,
82,5/3/2013,16.7,16.85,16.5,16.55,156850,-1,,,,,
83,5/7/2013,16.8,17.15,16.6,17.15,290280,1,,,,,
84,5/8/2013,17.25,17.25,16.9,17.15,164510,1,5700.0,-98492.1525,,,
85,5/9/2013,17.05,17.15,17.05,17.15,91940,1,,,,,
86,5/10/2013,17.15,17.2,17.0,17.2,113940,1,,,,,
87,5/13/2013,17.15,17.5,17.15,17.5,249100,1,,,,,
88,5/14/2013,17.5,17.7,17.5,17.5,193910,-1,,,,,
89,5/15/2013,17.65,17.65,17.2,17.35,249410,-1,,,-5700.0,100433.97149999999,1941.8189999999886
90,5/16/2013,17.25,17.4,17.15,17.25,107420,-1,,,,,
91,5/17/2013,17.25,17.5,17.2,17.45,245420,-1,,,,,
92,5/20/2013,17.55,17.65,17.35,17.45,144690,-1,,,,,
93,5/21/2013,17.5,17.55,17.2,17.3,243050,-1,,,,,
94,5/22/2013,17.4,17.4,17.1,17.1,156650,-1,,,,,
95,5/23/2013,17.1,17.15,16.5,16.9,419150,-1,,,,,
96,5/27/2013,16.75,16.85,16.65,16.7,163960,-1,,,,,
97,5/28/2013,16.55,17.15,16.55,17.05,134850,1,,,,,
98,5/29/2013,17.05,17.15,16.7,16.9,215910,1,5800.0,-99058.113,,,
99,5/30/2013,16.7,16.95,16.7,16.7,130130,1,,,,,
100,5/31/2013,16.65,16.9,16.35,16.9,429000,1,,,,,
101,6/3/2013,16.85,17.2,16.65,16.7,202550,1,,,,,
102,6/4/2013,16.85,17.1,16.6,17.1,216300,1,,,,,
103,6/5/2013,17.15,17.15,16.6,16.75,231300,1,,,,,
104,6/6/2013,16.5,16.6,16.3,16.5,330720,-1,,,,,
105,6/7/2013,16.2,16.35,15.95,16.0,563300,-1,,,-5800.0,93800.268,-5257.845000000001
106,6/10/2013,16.15,16.35,16.05,16.1,253310,-1,,,,,
107,6/11/2013,16.0,16.0,15.0,15.05,625780,-1,,,,,
108,6/12/2013,14.6,15.45,14.3,14.7,542780,1,,,,,
109,6/13/2013,14.2,14.55,13.8,14.5,770090,1,7000.0,-99568.98000000001,,,
110,6/14/2013,15.0,15.2,14.8,15.1,516020,1,,,,,
111,6/17/2013,15.15,15.4,14.9,15.35,190890,1,,,,,
112,6/18/2013,15.4,15.85,15.2,15.2,494380,1,,,,,
113,6/19/2013,15.25,15.45,14.8,14.95,293630,1,,,,,
114,6/20/2013,14.4,14.7,14.25,14.4,449330,-1,,,,,
115,6/21/2013,14.0,14.15,13.4,13.8,675270,-1,,,-7000.0,97833.4,-1735.5800000000163
116,6/24/2013,13.5,13.8,13.0,13.0,423490,-1,,,,,
117,6/25/2013,13.1,13.9,12.7,13.9,708010,1,,,,,
118,6/26/2013,14.1,14.4,13.8,14.3,580300,1,7000.0,-98867.79000000001,,,
119,6/27/2013,14.7,15.35,14.35,14.9,652340,1,,,,,
120,6/28/2013,15.4,15.8,15.2,15.75,742050,1,,,,,
121,7/2/2013,15.5,15.65,15.25,15.5,488100,1,,,,,
122,7/3/2013,15.0,16.0,15.0,16.0,272440,1,,,,,
123,7/4/2013,15.45,15.8,15.4,15.75,283770,-1,,,,,
124,7/5/2013,15.8,15.9,15.5,15.65,248430,-1,,,-7000.0,110411.98,11544.189999999988
125,7/8/2013,15.45,15.5,14.9,14.9,266380,-1,,,,,
126,7/9/2013,14.75,14.8,14.3,14.3,469470,-1,,,,,
127,7/10/2013,14.3,14.55,13.95,14.5,324110,-1,,,,,
128,7/11/2013,14.8,15.3,14.7,15.3,418450,1,,,,,
129,7/12/2013,15.3,15.4,15.05,15.3,209730,1,6500.0,-99619.065,,,
130,7/15/2013,15.3,15.45,14.9,15.0,239950,1,,,,,
131,7/16/2013,14.9,15.4,14.85,15.4,206510,1,,,,,
132,7/17/2013,15.5,15.7,15.4,15.65,276540,1,,,,,
133,7/18/2013,15.7,16.3,15.6,16.25,472780,1,,,,,
134,7/19/2013,16.3,16.3,16.0,16.0,255260,-1,,,,,
135,7/23/2013,16.2,16.65,16.05,16.5,562080,-1,,,-6500.0,105120.98999999999,5501.924999999988
136,7/24/2013,16.5,16.5,16.1,16.25,218970,-1,,,,,
137,7/25/2013,16.1,16.2,15.65,15.65,426370,-1,,,,,
138,7/26/2013,15.6,15.9,15.2,15.55,381510,-1,,,,,
139,7/29/2013,15.0,15.1,14.8,14.85,585910,-1,,,,,
140,7/30/2013,14.95,15.1,14.5,14.5,448000,-1,,,,,
141,7/31/2013,14.4,14.65,14.2,14.65,305730,-1,,,,,
142,8/1/2013,14.85,14.85,14.5,14.65,146830,1,,,,,
143,8/2/2013,14.35,14.6,14.25,14.35,253810,1,6900.0,-99183.3255,,,
144,8/5/2013,14.35,14.45,14.25,14.25,195550,-1,,,,,
145,8/6/2013,14.15,14.5,14.05,14.4,285990,1,,,-6900.0,97469.0205,-1714.3050000000076
146,8/7/2013,14.4,14.4,14.2,14.35,172840,1,6900.0,-99528.912,,,
147,8/8/2013,14.5,14.9,14.45,14.9,395640,1,,,,,
148,8/9/2013,14.9,14.9,14.6,14.65,135640,1,,,,,
149,8/13/2013,14.65,14.9,14.65,14.85,173020,1,,,,,
150,8/14/2013,14.75,14.85,14.45,14.6,218850,-1,,,,,
151,8/15/2013,14.5,14.55,14.3,14.5,224970,-1,,,-6900.0,99879.915,351.002999999997
152,8/16/2013,14.35,14.4,14.2,14.2,387960,-1,,,,,
153,8/19/2013,14.1,14.1,13.55,13.65,481510,-1,,,,,
154,8/20/2013,13.2,13.25,12.8,13.0,1017140,-1,,,,,
155,8/21/2013,12.8,13.05,12.75,12.75,773140,-1,,,,,
156,8/22/2013,12.5,13.3,12.5,13.3,590200,1,,,,,
157,8/23/2013,13.5,13.5,12.75,12.75,421170,1,7300.0,-98717.535,,,
158,8/26/2013,13.0,13.05,12.65,12.65,293140,1,,,,,
159,8/27/2013,12.4,12.6,12.2,12.45,275860,-1,,,,,
160,8/28/2013,12.05,12.4,12.0,12.0,730500,-1,,,-7300.0,87815.4595,-10902.075500000006
161,8/29/2013,12.1,12.7,12.0,12.6,411740,1,,,,,
162,8/30/2013,12.7,12.9,12.6,12.9,476020,1,7800.0,-99228.402,,,
163,9/2/2013,13.1,13.3,12.95,13.25,325580,1,,,,,
164,9/3/2013,13.25,13.25,12.95,13.0,288830,1,,,,,
165,9/4/2013,13.0,13.0,12.6,12.7,292700,-1,,,,,
166,9/5/2013,12.9,13.0,12.65,12.95,246690,-1,,,-7800.0,100448.946,1220.5439999999944
