,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
0,1/2/2013,34.0,34.75,34.0,34.25,252962,-1,,,,,
1,1/3/2013,34.5,35.0,34.5,34.75,366307,-1,,,,,
2,1/4/2013,34.75,35.0,34.5,35.0,303814,-1,,,,,
3,1/7/2013,35.25,35.25,34.75,34.75,196368,-1,,,,,
4,1/8/2013,34.75,34.75,34.0,34.0,235668,-1,,,,,
5,1/9/2013,34.25,34.25,33.75,33.75,191272,-1,,,,,
6,1/10/2013,34.0,34.0,33.25,33.25,285262,-1,,,,,
7,1/11/2013,33.5,33.75,33.25,33.5,200120,-1,,,,,
8,1/14/2013,33.75,34.0,33.5,33.75,108918,-1,,,,,
9,1/15/2013,34.0,34.5,33.75,34.25,226198,-1,,,,,
10,1/16/2013,34.0,34.25,33.5,33.5,152244,-1,,,,,
11,1/17/2013,33.75,34.25,33.5,34.0,200766,-1,,,,,
12,1/18/2013,34.0,34.5,34.0,34.5,235992,-1,,,,,
13,1/21/2013,34.5,34.75,34.0,34.5,153285,-1,,,,,
14,1/22/2013,34.25,34.5,33.5,33.75,358479,-1,,,,,
15,1/23/2013,34.0,34.25,33.5,33.75,295846,-1,,,,,
16,1/24/2013,34.0,34.25,33.75,34.25,174728,-1,,,,,
17,1/25/2013,34.25,34.5,34.0,34.25,232388,1,,,,,
18,1/28/2013,34.5,35.75,34.25,35.75,585925,1,2800.0,-96764.22,,,
19,1/29/2013,35.75,36.75,35.5,36.25,557959,1,,,,,
20,1/30/2013,36.75,36.75,36.0,36.0,350567,1,,,,,
21,1/31/2013,36.0,36.25,35.0,35.5,279582,-1,,,,,
22,2/1/2013,35.75,36.0,35.25,36.0,172245,-1,,,-2800.0,99929.83,3165.6100000000006
23,2/4/2013,36.25,36.5,35.75,36.0,221247,-1,,,,,
24,2/5/2013,35.75,36.0,35.5,35.75,125211,-1,,,,,
25,2/6/2013,35.75,35.75,34.75,35.25,252536,-1,,,,,
26,2/7/2013,34.5,35.0,34.25,34.25,402271,-1,,,,,
27,2/8/2013,34.25,34.5,34.0,34.0,231399,-1,,,,,
28,2/11/2013,34.0,34.0,33.25,33.25,291364,-1,,,,,
29,2/12/2013,33.25,33.75,33.0,33.0,270188,-1,,,,,
30,2/13/2013,33.0,33.75,33.0,33.0,306635,-1,,,,,
31,2/14/2013,33.25,33.5,33.0,33.25,177803,1,,,,,
32,2/15/2013,33.25,33.75,33.0,33.5,289233,1,3000.0,-99919.575,,,
33,2/18/2013,33.5,33.75,33.5,33.5,141675,1,,,,,
34,2/19/2013,33.5,33.75,33.25,33.25,167188,1,,,,,
35,2/20/2013,33.25,34.0,33.25,33.5,289281,1,,,,,
36,2/21/2013,33.5,33.75,33.25,33.25,220899,-1,,,,,
37,2/22/2013,33.25,33.75,33.0,33.25,167559,-1,,,-3000.0,99580.425,-339.1499999999942
38,2/26/2013,33.5,33.5,32.75,32.75,495099,-1,,,,,
39,2/27/2013,33.0,33.25,32.75,33.0,245365,-1,,,,,
40,2/28/2013,33.0,33.25,32.5,32.5,341586,-1,,,,,
41,3/1/2013,32.75,33.0,32.5,32.5,260269,-1,,,,,
42,3/4/2013,32.75,32.75,32.25,32.5,211679,-1,,,,,
43,3/5/2013,32.5,32.75,32.25,32.5,222780,1,,,,,
44,3/6/2013,32.75,33.0,32.25,32.5,282298,1,3000.0,-98417.02500000001,,,
45,3/7/2013,32.5,32.75,32.0,32.0,247528,-1,,,,,
46,3/8/2013,32.25,32.25,32.0,32.0,196634,-1,,,-3000.0,96585.525,-1831.5000000000146
47,3/11/2013,32.25,33.25,32.0,33.25,428304,1,,,,,
48,3/12/2013,33.5,33.5,33.0,33.5,241461,1,2900.0,-97315.155,,,
49,3/13/2013,33.5,34.25,33.25,34.25,344577,1,,,,,
50,3/14/2013,34.25,34.5,33.25,33.75,273867,1,,,,,
51,3/15/2013,33.5,34.5,33.25,34.5,821736,-1,,,,,
52,3/18/2013,34.25,35.25,34.0,35.0,475538,-1,,,-2900.0,99156.14749999999,1840.992499999993
53,3/19/2013,35.0,35.25,33.75,33.75,367083,-1,,,,,
54,3/20/2013,33.75,34.0,33.25,33.25,229085,-1,,,,,
55,3/21/2013,33.25,33.5,32.5,32.75,202698,-1,,,,,
56,3/22/2013,32.75,33.0,31.5,32.0,345054,-1,,,,,
