,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
0,1/2/2013,6.86,6.96,6.8,6.86,155540,-1,,,,,
1,1/3/2013,6.96,7.07,6.91,6.91,321400,-1,,,,,
2,1/4/2013,6.91,7.23,6.91,7.23,719918,-1,,,,,
3,1/7/2013,7.29,7.29,7.12,7.29,305066,-1,,,,,
4,1/8/2013,7.23,7.29,7.12,7.23,257570,-1,,,,,
5,1/9/2013,7.23,7.34,7.23,7.23,139396,-1,,,,,
6,1/10/2013,7.23,7.29,7.02,7.07,290814,-1,,,,,
7,1/11/2013,7.07,7.18,6.86,7.18,414184,-1,,,,,
8,1/14/2013,7.12,7.29,7.07,7.29,172142,-1,,,,,
9,1/15/2013,7.29,7.39,7.23,7.29,278999,-1,,,,,
10,1/16/2013,7.34,7.34,7.18,7.18,129996,-1,,,,,
11,1/17/2013,7.18,7.23,7.12,7.18,172707,-1,,,,,
12,1/18/2013,7.18,7.29,7.18,7.29,213251,-1,,,,,
13,1/21/2013,7.34,7.34,7.23,7.29,113622,-1,,,,,
14,1/22/2013,7.29,7.45,7.29,7.29,260448,-1,,,,,
15,1/23/2013,7.34,7.5,7.29,7.5,480260,1,,,,,
16,1/24/2013,7.5,7.66,7.45,7.55,417505,1,13300.0,-99919.575,,,
17,1/25/2013,7.55,7.61,7.5,7.55,171684,1,,,,,
18,1/28/2013,7.61,7.66,7.55,7.61,146462,-1,,,,,
19,1/29/2013,7.66,7.66,7.34,7.45,558882,-1,,,-13300.0,101704.80739999999,1785.2323999999935
20,1/30/2013,7.45,7.45,7.34,7.39,324806,-1,,,,,
21,1/31/2013,7.45,7.45,7.34,7.39,205890,-1,,,,,
22,2/1/2013,7.39,7.55,7.39,7.39,175556,-1,,,,,
23,2/4/2013,7.45,7.55,7.45,7.5,163943,1,,,,,
24,2/5/2013,7.45,7.71,7.39,7.61,533330,1,13400.0,-99999.71100000001,,,
25,2/6/2013,7.66,7.71,7.5,7.55,200967,1,,,,,
26,2/7/2013,7.55,7.71,7.45,7.66,348942,1,,,,,
27,2/8/2013,7.66,7.82,7.61,7.77,335045,1,,,,,
28,2/11/2013,7.77,7.77,7.61,7.61,155628,1,,,,,
29,2/12/2013,7.61,7.71,7.55,7.66,178280,-1,,,,,
30,2/13/2013,7.66,7.77,7.61,7.71,178181,-1,,,-13400.0,102469.5052,2469.7941999999894
31,2/14/2013,7.77,7.87,7.71,7.87,198714,1,,,,,
32,2/15/2013,7.82,8.04,7.77,7.93,235444,1,12700.0,-99482.83380000001,,,
33,2/18/2013,8.04,8.09,7.93,7.98,150246,1,,,,,
34,2/19/2013,7.98,8.46,7.93,8.36,644769,-1,,,,,
35,2/20/2013,8.41,8.73,8.3,8.36,649248,-1,,,-12700.0,106625.42809999999,7142.5942999999825
36,2/21/2013,8.36,8.36,8.09,8.14,428155,-1,,,,,
37,2/22/2013,8.14,8.41,8.04,8.41,359258,-1,,,,,
38,2/26/2013,8.3,8.68,8.2,8.62,452097,1,,,,,
39,2/27/2013,8.78,9.11,8.73,8.89,530497,1,11300.0,-99382.66380000001,,,
40,2/28/2013,9.0,9.05,8.78,8.78,430571,1,,,,,
41,3/1/2013,8.84,9.0,8.62,8.78,402018,-1,,,,,
42,3/4/2013,8.73,8.78,8.57,8.68,328804,-1,,,-11300.0,98481.29669999999,-901.3671000000177
43,3/5/2013,8.73,8.89,8.62,8.84,234354,-1,,,,,
44,3/6/2013,8.89,8.89,8.78,8.78,175235,-1,,,,,
45,3/7/2013,8.78,8.84,8.73,8.78,215960,-1,,,,,
46,3/8/2013,8.89,9.0,8.78,8.89,234007,1,,,,,
47,3/11/2013,8.95,9.05,8.78,8.78,297613,1,11100.0,-99513.8865,,,
48,3/12/2013,8.84,9.0,8.78,8.78,340735,-1,,,,,
49,3/13/2013,8.84,9.0,8.84,8.89,400982,-1,,,-11100.0,97957.1892,-1556.6972999999998
50,3/14/2013,8.89,9.0,8.84,9.0,349188,1,,,,,
51,3/15/2013,9.11,9.27,8.95,8.95,948209,1,10900.0,-99467.8083,,,
52,3/18/2013,8.95,9.05,8.84,8.84,216542,-1,,,,,
53,3/19/2013,9.0,9.0,8.73,8.78,365631,-1,,,-10900.0,97933.23,-1534.5783000000083
54,3/20/2013,8.78,8.84,8.41,8.57,536470,-1,,,,,
55,3/21/2013,8.62,8.78,8.57,8.68,413467,1,,,,,
56,3/22/2013,8.57,8.68,8.14,8.3,744480,1,11600.0,-99581.0004,,,
57,3/25/2013,8.36,8.78,8.36,8.68,401771,1,,,,,
58,3/26/2013,8.73,8.89,8.62,8.89,230387,1,,,,,
59,3/27/2013,9.0,9.11,8.89,8.89,378333,1,,,,,
60,3/28/2013,8.84,9.0,8.84,9.0,230211,1,,,,,
61,3/29/2013,9.11,9.16,9.05,9.16,196147,1,,,,,
62,4/1/2013,9.11,9.21,9.05,9.21,226211,1,,,,,
63,4/2/2013,9.32,9.32,8.95,9.0,319160,-1,,,,,
64,4/3/2013,9.0,9.11,8.62,8.62,519613,-1,,,-11600.0,104222.51999999999,4641.519599999985
65,4/4/2013,8.3,8.89,8.3,8.78,291268,-1,,,,,
66,4/5/2013,8.78,8.78,8.62,8.68,183473,-1,,,,,
67,4/9/2013,8.73,8.84,8.57,8.73,197521,1,,,,,
68,4/10/2013,8.73,8.95,8.62,8.95,221525,1,11400.0,-99691.18740000001,,,
69,4/11/2013,9.05,9.05,8.73,8.95,335786,1,,,,,
70,4/12/2013,9.06,9.25,8.87,9.25,430374,1,,,,,
71,4/17/2013,9.12,9.44,9.06,9.19,309169,1,,,,,
72,4/18/2013,9.19,9.37,9.12,9.31,159247,-1,,,,,
73,4/19/2013,9.37,9.37,9.25,9.37,132939,-1,,,-11400.0,106636.40939999997,6945.221999999965
74,4/22/2013,9.44,9.81,9.37,9.69,262905,1,,,,,
75,4/23/2013,9.75,9.81,9.56,9.62,127311,-1,10200.0,-99619.065,,,
76,4/24/2013,9.75,9.94,9.56,9.62,256710,-1,,,-10200.0,99280.935,-338.13000000000466
77,4/25/2013,9.62,9.87,9.62,9.81,242618,-1,,,,,
78,4/26/2013,9.81,9.94,9.69,9.69,183309,-1,,,,,
79,4/29/2013,9.69,9.81,9.37,9.56,252980,-1,,,,,
80,4/30/2013,9.5,9.56,9.31,9.37,483256,-1,,,,,
81,5/2/2013,9.56,9.62,9.25,9.37,388156,-1,,,,,
82,5/3/2013,9.44,9.44,9.25,9.25,264539,-1,,,,,
83,5/7/2013,9.12,9.37,9.0,9.37,300900,1,,,,,
84,5/8/2013,9.44,9.44,9.12,9.25,389536,1,10500.0,-99288.504,,,
85,5/9/2013,9.31,9.37,9.12,9.19,334175,1,,,,,
86,5/10/2013,9.19,9.31,9.12,9.25,333838,1,,,,,
87,5/13/2013,9.19,9.37,9.19,9.37,237352,1,,,,,
88,5/14/2013,9.31,9.56,9.31,9.5,319699,1,,,,,
89,5/15/2013,9.62,9.69,9.5,9.5,235992,1,,,,,
90,5/16/2013,9.75,9.94,9.69,9.87,1125903,1,,,,,
91,5/17/2013,9.94,10.0,9.81,9.94,460065,1,,,,,
92,5/20/2013,10.12,10.19,10.0,10.12,244681,1,,,,,
93,5/21/2013,10.25,10.31,10.06,10.12,442887,-1,,,,,
94,5/22/2013,10.19,10.25,9.87,9.94,393021,-1,,,-10500.0,106813.1085,7524.604500000001
95,5/23/2013,10.0,10.0,9.5,9.75,566798,-1,,,,,
96,5/27/2013,9.69,9.87,9.62,9.87,285292,-1,,,,,
97,5/28/2013,10.0,10.19,9.87,10.19,447039,1,,,,,
98,5/29/2013,10.25,10.37,10.12,10.25,731590,1,9700.0,-99594.0225,,,
99,5/30/2013,10.19,10.5,10.12,10.37,1223084,1,,,,,
100,5/31/2013,10.5,10.56,10.06,10.12,2949390,-1,,,,,
101,6/3/2013,10.0,10.12,9.75,9.81,442336,-1,,,-9700.0,96835.09999999999,-2758.922500000015
102,6/4/2013,9.94,9.94,9.5,9.94,398747,-1,,,,,
103,6/5/2013,9.87,9.94,9.62,9.62,283661,-1,,,,,
104,6/6/2013,9.44,9.56,9.19,9.25,719727,-1,,,,,
105,6/7/2013,9.25,9.44,9.19,9.31,283386,-1,,,,,
106,6/10/2013,9.44,9.5,9.37,9.37,170023,-1,,,,,
107,6/11/2013,9.31,9.37,8.87,9.12,467875,1,,,,,
108,6/12/2013,8.94,9.0,8.75,8.81,396483,1,11100.0,-99402.69780000001,,,
109,6/13/2013,8.37,8.44,7.87,8.44,786301,1,,,,,
110,6/14/2013,8.81,8.87,8.69,8.75,412101,1,,,,,
111,6/17/2013,8.75,8.87,8.5,8.69,215142,1,,,,,
112,6/18/2013,8.62,9.0,8.44,8.44,408506,1,,,,,
113,6/19/2013,8.5,8.56,8.19,8.25,324218,-1,,,,,
114,6/20/2013,7.87,8.0,7.44,7.44,1130640,-1,,,-11100.0,87208.49309999999,-12194.204700000017
115,6/21/2013,6.94,7.25,6.62,7.19,2227957,-1,,,,,
116,6/24/2013,7.0,7.31,6.75,6.75,958306,-1,,,,,
117,6/25/2013,6.94,7.12,6.44,6.94,1450083,1,,,,,
118,6/26/2013,7.06,7.44,6.87,7.37,1830841,1,14100.0,-99715.2282,,,
119,6/27/2013,7.62,7.69,7.12,7.37,1388060,1,,,,,
120,6/28/2013,7.5,7.75,7.19,7.19,1353130,1,,,,,
121,7/2/2013,7.25,7.44,7.19,7.31,617037,1,,,,,
122,7/3/2013,7.5,7.5,6.67,6.67,585409,-1,,,,,
