,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
0,1/2/2013,4.79,4.79,4.62,4.7,1518336,-1,,,,,
1,1/3/2013,4.7,4.7,4.53,4.57,1295470,-1,,,,,
2,1/4/2013,4.53,4.57,4.49,4.53,416769,-1,,,,,
3,1/7/2013,4.57,4.7,4.53,4.62,1189477,-1,,,,,
4,1/8/2013,4.62,4.7,4.49,4.62,892569,-1,,,,,
5,1/9/2013,4.62,4.66,4.57,4.62,387881,-1,,,,,
6,1/10/2013,4.62,4.62,4.4,4.49,631086,-1,,,,,
7,1/11/2013,4.44,4.49,4.36,4.44,408932,-1,,,,,
8,1/14/2013,4.49,4.53,4.4,4.53,562503,-1,,,,,
9,1/15/2013,4.62,4.66,4.53,4.53,1260929,1,,,,,
10,1/16/2013,4.53,4.57,4.44,4.44,366485,1,22000.0,-99829.422,,,
11,1/17/2013,4.44,4.57,4.44,4.49,357674,-1,,,,,
12,1/18/2013,4.53,4.92,4.53,4.88,4660426,1,,,-22000.0,99490.578,-338.8440000000119
13,1/21/2013,5.01,5.31,4.97,5.31,5624196,1,19900.0,-99868.4883,,,
14,1/22/2013,5.31,5.31,5.01,5.01,3131822,1,,,,,
15,1/23/2013,5.05,5.14,4.83,5.14,3131110,-1,,,,,
16,1/24/2013,5.18,5.27,5.05,5.14,2334760,-1,,,-19900.0,102906.7606,3038.272299999997
17,1/25/2013,5.1,5.23,5.05,5.14,1924728,-1,,,,,
18,1/28/2013,5.18,5.71,5.14,5.62,8563614,1,,,,,
19,1/29/2013,5.58,5.75,5.44,5.75,4216882,1,17800.0,-99492.8508,,,
20,1/30/2013,5.75,6.1,5.75,6.05,5040655,1,,,,,
21,1/31/2013,6.01,6.23,5.71,5.75,7010366,-1,,,,,
22,2/1/2013,5.75,5.97,5.62,5.92,5377346,-1,,,-17800.0,102176.00499999999,2683.15419999999
23,2/4/2013,5.75,5.84,5.71,5.75,574478,-1,,,,,
24,2/5/2013,5.71,5.84,5.66,5.84,411129,-1,,,,,
25,2/6/2013,5.84,5.88,5.75,5.84,241829,-1,,,,,
26,2/7/2013,5.84,5.84,5.75,5.84,327792,1,,,,,
27,2/8/2013,5.88,6.1,5.88,6.01,1303628,1,16900.0,-99540.9324,,,
28,2/11/2013,6.01,6.23,6.01,6.23,1859637,1,,,,,
29,2/12/2013,6.18,6.4,5.79,5.84,2598064,-1,,,,,
30,2/13/2013,5.92,6.01,5.49,5.75,2882724,-1,,,-16900.0,99877.9184,336.9859999999899
31,2/14/2013,5.71,5.84,5.58,5.84,697520,-1,,,,,
32,2/15/2013,5.75,5.79,5.58,5.75,697519,-1,,,,,
33,2/18/2013,5.71,5.75,5.23,5.58,2482748,1,,,,,
34,2/19/2013,5.58,5.62,5.49,5.62,603740,1,17800.0,-99492.8508,,,
35,2/20/2013,5.58,5.71,5.49,5.66,477997,1,,,,,
36,2/21/2013,5.58,5.66,5.49,5.53,437018,1,,,,,
37,2/22/2013,5.58,5.75,5.58,5.66,590422,1,,,,,
38,2/26/2013,5.75,5.75,5.53,5.58,1567774,-1,,,,,
39,2/27/2013,5.58,5.75,5.49,5.62,1088613,-1,,,-17800.0,99155.1492,-337.7016000000003
40,2/28/2013,5.75,5.88,5.71,5.84,4117219,1,,,,,
