symbol,debt_to_equity,asset_turnover,roe,pbv,dvd_yield
ADVANC.BK,3.36,0.52,34.24,9.15,3.01
AOT.BK,0.73,0.04,-12.82,7.76,0
AWC.BK,0.75,0.03,1.15,1.9,0
BANPU.BK,3.31,0.42,13.91,1.04,2.12
BBL.BK,7.79,0.04,5.63,0.48,2.06
BDMS.BK,0.49,0.57,9.24,4.53,2.39
BEM.BK,2.05,0.1,2.67,3.41,1.18
BGRIM.BK,3.68,0.33,7.99,3.59,1.11
BH.BK,0.19,0.56,6.79,6.75,2.27
BLA.BK,6.24,0.14,6.8,1.34,0.62
BTS.BK,2.26,0.22,7.95,2.06,3.31
CBG.BK,0.89,0.97,28.57,12.44,2.01
CPALL.BK,6.14,0.81,12.93,5.52,1.53
CPF.BK,2.58,0.65,6.4,1.02,3.94
CPN.BK,2.48,0.13,10.08,3.54,1.24
CRC.BK,3.62,0.78,0.11,3.49,1.25
DTAC.BK,7.15,0.4,15.09,5.42,6.54
EA.BK,1.55,0.15,20.23,11.65,0.31
EGCO.BK,1.13,0.17,3.81,0.82,3.7
GLOBAL.BK,0.99,0.91,18.3,4.89,0.89
GPSC.BK,1.41,0.3,6.93,2.37,1.69
GULF.BK,2.64,0.16,9.55,6.02,0.83
HMPRO.BK,1.56,1.11,24.48,9.06,2.07
INTUCH.BK,0.18,0.07,27.3,6.77,3.12
IRPC.BK,1.17,1.41,17.79,0.92,1.56
IVL.BK,2.34,0.95,18.42,1.56,1.62
JMART.BK,1.07,0.35,23.5,15.12,0.82
JMT.BK,0.47,0.17,11.31,11.06,0.91
KBANK.BK,7.48,0.07,8.3,0.72,1.76
KCE.BK,0.64,0.78,19.11,8.2,0.91
KTB.BK,8.84,0.04,6.14,0.52,2.08
KTC.BK,2.32,0.24,23.69,5.98,1.49
LH.BK,1.49,0.27,13.89,2.19,5.68
MINT.BK,4.27,0.21,-19.51,2.78,0
MTC.BK,2.96,0.18,21.71,5.24,0.63
OR.BK,2.08,2.92,16.67,3.35,0.36
OSP.BK,0.36,1.03,16.65,5.39,3.21
PTT.BK,1.59,0.81,11.47,1.11,2.63
PTTEP.BK,0.89,0.32,10.1,1.14,3.6
PTTGC.BK,1.34,0.79,15.01,0.85,1.69
SAWAD.BK,0.93,0.2,20.19,3.6,2.91
SCC.BK,1.12,0.67,13.74,1.29,3.63
SCGP.BK,0.87,0.67,8.94,3.12,0.65
TIDLOR.BK,1.97,0.2,18.56,3.92,0
TISCO.BK,4.91,0.08,16.82,1.95,6.56
TOP.BK,1.98,1.04,10.61,0.87,1.41
TRUE.BK,6.68,0.24,-1.72,1.96,1.46
TTB.BK,7.34,0.05,5.04,0.68,3.05
TU.BK,1.76,0.91,14.37,1.59,3.69
